37176,cer_leagueplay_penalty,311,0,0,,,,,SyncToStats,<NOT SET>,,,,0,0
37179,cer_leagueplay_overall_stats,311,0,0,,,,,Overall Stats,<NOT SET>,,,,0,0
37193,cer_leagueplay_s1_win_stats,311,0,0,,,,,Win Stats,1,,,,0,0
37192,cer_leagueplay_s2_win_stats,311,0,0,,,,,Win Stats,2,,,,0,0
37191,cer_leagueplay_s3_win_stats,311,0,0,,,,,Win Stats,3,,,,0,0
37190,cer_leagueplay_s4_win_stats,311,0,0,,,,,Win Stats,4,,,,0,0
37189,cer_leagueplay_s5_win_stats,311,0,0,,,,,Win Stats,5,,,,0,0
37187,cer_leagueplay_s6_win_stats,311,0,0,,,,,Win Stats,6,,,,0,0
37186,cer_leagueplay_s1_hotstreak_stats,311,0,0,,,,,Hot Streak Stats,1,,,,0,0
37185,cer_leagueplay_s2_hotstreak_stats,311,0,0,,,,,Hot Streak Stats,2,,,,0,0
37184,cer_leagueplay_s3_hotstreak_stats,311,0,0,,,,,Hot Streak Stats,3,,,,0,0
37183,cer_leagueplay_s4_hotstreak_stats,311,0,0,,,,,Hot Streak Stats,4,,,,0,0
37182,cer_leagueplay_s5_hotstreak_stats,311,0,0,,,,,Hot Streak Stats,5,,,,0,0
37181,cer_leagueplay_s6_hotstreak_stats,311,0,0,,,,,Hot Streak Stats,6,,,,0,0
37195,cer_leagueplay_sr_integrity,311,0,0,,,,,Skill Rating Integrity,<NOT SET>,,,,0,0
37196,cer_leagueplay_match_aar,311,0,0,,,,,Match AAR,<NOT SET>,,,,0,0
37197,cer_leagueplay_s1_skilldivision_stats,311,0,0,,,,,Skilldivision Stats,1,,,,0,0
37198,cer_leagueplay_s2_skilldivision_stats,311,0,0,,,,,Skilldivision Stats,2,,,,0,0
37199,cer_leagueplay_s3_skilldivision_stats,311,0,0,,,,,Skilldivision Stats,3,,,,0,0
37200,cer_leagueplay_s4_skilldivision_stats,311,0,0,,,,,Skilldivision Stats,4,,,,0,0
37202,cer_leagueplay_s5_skilldivision_stats,311,0,0,,,,,Skilldivision Stats,5,,,,0,0
37203,cer_leagueplay_s6_skilldivision_stats,311,0,0,,,,,Skilldivision Stats,6,,,,0,0
37261,cer_wz_leagueplay_penalty,338,0,0,,,,,SyncToStats,<NOT SET>,,,,1,0
37264,cer_wz_leagueplay_overall_stats,338,0,0,,,,,Overall Stats,<NOT SET>,,,,1,0
37287,cer_wz_leagueplay_s1_win_stats,338,0,0,,,,,Win Stats,1,,,,1,0
37286,cer_wz_leagueplay_s2_win_stats,338,0,0,,,,,Win Stats,2,,,,1,0
37285,cer_wz_leagueplay_s3_win_stats,338,0,0,,,,,Win Stats,3,,,,1,0
37284,cer_wz_leagueplay_s4_win_stats,338,0,0,,,,,Win Stats,4,,,,1,0
37283,cer_wz_leagueplay_s5_win_stats,338,0,0,,,,,Win Stats,5,,,,1,0
37282,cer_wz_leagueplay_s6_win_stats,338,0,0,,,,,Win Stats,6,,,,1,0
37281,cer_wz_leagueplay_s1_hotstreak_stats,338,0,0,,,,,Hot Streak Stats,1,,,,1,0
37280,cer_wz_leagueplay_s2_hotstreak_stats,338,0,0,,,,,Hot Streak Stats,2,,,,1,0
37278,cer_wz_leagueplay_s3_hotstreak_stats,338,0,0,,,,,Hot Streak Stats,3,,,,1,0
37279,cer_wz_leagueplay_s4_hotstreak_stats,338,0,0,,,,,Hot Streak Stats,4,,,,1,0
37277,cer_wz_leagueplay_s5_hotstreak_stats,338,0,0,,,,,Hot Streak Stats,5,,,,1,0
37276,cer_wz_leagueplay_s6_hotstreak_stats,338,0,0,,,,,Hot Streak Stats,6,,,,1,0
37275,cer_wz_leagueplay_sr_integrity,338,0,0,,,,,Skill Rating Integrity,<NOT SET>,,,,1,0
37274,cer_wz_leagueplay_match_aar,338,0,0,,,,,Match AAR,<NOT SET>,,,,1,0
37273,cer_wz_leagueplay_match_sr_gains,338,0,0,,,,,Match SR Gains,<NOT SET>,,,,1,0
37272,cer_wz_leagueplay_match_sr_loss,338,0,0,,,,,Match SR Loss,<NOT SET>,,,,1,0
37271,cer_wz_leagueplay_s1_skilldivision_stats,338,0,0,,,,,Skilldivision Stats,1,,,,1,0
37270,cer_wz_leagueplay_s2_skilldivision_stats,338,0,0,,,,,Skilldivision Stats,2,,,,1,0
37269,cer_wz_leagueplay_s3_skilldivision_stats,338,0,0,,,,,Skilldivision Stats,3,,,,1,0
37268,cer_wz_leagueplay_s4_skilldivision_stats,338,0,0,,,,,Skilldivision Stats,4,,,,1,0
37267,cer_wz_leagueplay_s5_skilldivision_stats,338,0,0,,,,,Skilldivision Stats,5,,,,1,0
37266,cer_wz_leagueplay_s6_skilldivision_stats,338,0,0,,,,,Skilldivision Stats,6,,,,1,0
