18045,10445,iw9_raid_gaz_activator,411,137,18362
24473,12269,iw9_raid_price_skin_activator,411,118,24475
48573,27254,jup_convert_instanceloot_jup_instanceloot_brainrot_3,411,146,
48574,27255,jup_convert_instanceloot_jup_instanceloot_aethercrystal_refined_1,411,146,
48575,27256,jup_convert_instanceloot_jup_instanceloot_napalmburst_3,411,146,
48576,27257,jup_convert_instanceloot_jup_instanceloot_aethertool_rare_2,411,146,
49290,27332,jup_convert_instanceloot_jup_instanceloot_cryomod_s1_bp,411,146,
49291,27333,jup_convert_instanceloot_jup_instanceloot_shatterblastmod_s1_bp,411,146,
49292,27334,jup_convert_instanceloot_jup_instanceloot_aethertool_epic_s1_bp,411,146,
49293,27335,jup_convert_instanceloot_jup_instanceloot_aethertool_legendary_s1_bp,411,146,
49294,27336,jup_convert_instanceloot_jup_instanceloot_aethercrystal_refined_s1_bp,411,146,
49345,27476,jup_collection_bundle_dune_1002,411,146,
53450,29158,jup_collection_bundle_dune_2080,411,146,
53452,29166,jup_collection_bundle_japanesefood_2041,411,146,
53451,29167,jup_collection_bundle_japanesefood_2036,411,146,
53933,29612,jup_convert_instanceloot_jup_instanceloot_aethercrystal_raw,411,146,
58878,36667,jup_collection_gxk_bundle_2079,411,146,
58879,36668,jup_collection_gxk_bundle_3013,411,146,
58880,36669,jup_collection_gxk_bundle_3017,411,146,
58881,36670,jup_collection_gxk_bundle_3021,411,146,
58882,36680,jup_collection_konnigroup_bundle_3044,411,146,
58883,36681,jup_collection_konnigroup_bundle_3045,411,146,
58875,36659,jup_convert_instanceloot_jup_instanceloot_raygun_case,411,146,
60187,36699,jup_convert_instanceloot_jup_instanceloot_speedcola_2,411,146,
60288,37070,jup_convert_instanceloot_jup_instanceloot_aethercrystal_flawless_1,411,146,
60289,37071,jup_convert_instanceloot_jup_instanceloot_dg2_case_1,411,146,
65296,40665,jup_preorder_ch_0_purchase,411,236,
65438,40639,jup_convert_instanceloot_jup_instanceloot_aethertool_epic_3,411,146,
65296,40576,jup_preorder_ch_activation_token_00,411,236,
65957,40690,jup_s5_fieldrep_event_plus_unlock,411,236,
