0,,0,,0,,,0,,,,0
1,0,30000,30000,0,icon_rank_officer_s04_sm_01,icon_rank_officer_s04_01,,30300,ch_elder_s4_chall_001,icon_ribbon_s04_001,0
2,30000,60000,30000,0,icon_rank_officer_s04_sm_01,icon_rank_officer_s04_01,3958,30301,ch_elder_s4_chall_002,icon_ribbon_s04_002,0
3,60000,90000,30000,0,icon_rank_officer_s04_sm_01,icon_rank_officer_s04_01,,30302,ch_elder_s4_chall_003,icon_ribbon_s04_003,0
4,90000,120000,30000,0,icon_rank_officer_s04_sm_01,icon_rank_officer_s04_01,,30303,ch_elder_s4_chall_004,icon_ribbon_s04_004,0
5,120000,150000,30000,0,icon_rank_officer_s04_sm_01,icon_rank_officer_s04_01,,30304,ch_elder_s4_chall_005,icon_ribbon_s04_005,0
6,150000,180000,30000,0,icon_rank_officer_s04_sm_02,icon_rank_officer_s04_02,3958,30305,ch_elder_s4_chall_006,icon_ribbon_s04_006,0
7,180000,210000,30000,0,icon_rank_officer_s04_sm_02,icon_rank_officer_s04_02,,30306,ch_elder_s4_chall_007,icon_ribbon_s04_007,0
8,210000,240000,30000,0,icon_rank_officer_s04_sm_02,icon_rank_officer_s04_02,,30307,ch_elder_s4_chall_008,icon_ribbon_s04_008,0
9,240000,270000,30000,0,icon_rank_officer_s04_sm_02,icon_rank_officer_s04_02,,30308,ch_elder_s4_chall_009,icon_ribbon_s04_009,0
10,270000,300000,30000,0,icon_rank_officer_s04_sm_02,icon_rank_officer_s04_02,,30309,ch_elder_s4_chall_010,icon_ribbon_s04_010,0
11,300000,330500,30500,0,icon_rank_officer_s04_sm_03,icon_rank_officer_s04_03,3958,30310,ch_elder_s4_chall_011,icon_ribbon_s04_011,0
12,330500,361500,31000,0,icon_rank_officer_s04_sm_03,icon_rank_officer_s04_03,,30311,ch_elder_s4_chall_012,icon_ribbon_s04_012,0
13,361500,393000,31500,0,icon_rank_officer_s04_sm_03,icon_rank_officer_s04_03,,30312,ch_elder_s4_chall_013,icon_ribbon_s04_013,0
14,393000,425000,32000,0,icon_rank_officer_s04_sm_03,icon_rank_officer_s04_03,,30313,ch_elder_s4_chall_014,icon_ribbon_s04_014,0
15,425000,457500,32500,0,icon_rank_officer_s04_sm_03,icon_rank_officer_s04_03,,30314,ch_elder_s4_chall_015,icon_ribbon_s04_015,0
16,457500,490500,33000,0,icon_rank_officer_s04_sm_04,icon_rank_officer_s04_04,3958,30315,ch_elder_s4_chall_016,icon_ribbon_s04_016,0
17,490500,524000,33500,0,icon_rank_officer_s04_sm_04,icon_rank_officer_s04_04,,30316,ch_elder_s4_chall_017,icon_ribbon_s04_017,0
18,524000,558000,34000,0,icon_rank_officer_s04_sm_04,icon_rank_officer_s04_04,,30317,ch_elder_s4_chall_018,icon_ribbon_s04_018,0
19,558000,592500,34500,0,icon_rank_officer_s04_sm_04,icon_rank_officer_s04_04,,30318,ch_elder_s4_chall_019,icon_ribbon_s04_019,0
20,592500,627500,35000,0,icon_rank_officer_s04_sm_04,icon_rank_officer_s04_04,,30319,ch_elder_s4_chall_020,icon_ribbon_s04_020,0
21,627500,663100,35600,0,icon_rank_officer_s04_sm_05,icon_rank_officer_s04_05,3958,30320,ch_elder_s4_chall_021,icon_ribbon_s04_021,0
22,663100,699300,36200,0,icon_rank_officer_s04_sm_05,icon_rank_officer_s04_05,,30321,ch_elder_s4_chall_022,icon_ribbon_s04_022,0
23,699300,736100,36800,0,icon_rank_officer_s04_sm_05,icon_rank_officer_s04_05,,30322,ch_elder_s4_chall_023,icon_ribbon_s04_023,0
24,736100,773500,37400,0,icon_rank_officer_s04_sm_05,icon_rank_officer_s04_05,,30323,ch_elder_s4_chall_024,icon_ribbon_s04_024,0
25,773500,811500,38000,0,icon_rank_officer_s04_sm_05,icon_rank_officer_s04_05,,30324,ch_elder_s4_chall_025,icon_ribbon_s04_025,0
26,811500,850100,38600,0,icon_rank_officer_s04_sm_06,icon_rank_officer_s04_06,3958,30325,ch_elder_s4_chall_026,icon_ribbon_s04_026,0
27,850100,889300,39200,0,icon_rank_officer_s04_sm_06,icon_rank_officer_s04_06,,30326,ch_elder_s4_chall_027,icon_ribbon_s04_027,0
28,889300,929100,39800,0,icon_rank_officer_s04_sm_06,icon_rank_officer_s04_06,,30327,ch_elder_s4_chall_028,icon_ribbon_s04_028,0
29,929100,969500,40400,0,icon_rank_officer_s04_sm_06,icon_rank_officer_s04_06,,30328,ch_elder_s4_chall_029,icon_ribbon_s04_029,0
30,969500,1010500,41000,0,icon_rank_officer_s04_sm_06,icon_rank_officer_s04_06,,30329,ch_elder_s4_chall_030,icon_ribbon_s04_030,0
31,1010500,1052200,41700,0,icon_rank_officer_s04_sm_07,icon_rank_officer_s04_07,3958,30330,ch_elder_s4_chall_031,icon_ribbon_s04_031,0
32,1052200,1094600,42400,0,icon_rank_officer_s04_sm_07,icon_rank_officer_s04_07,,30331,ch_elder_s4_chall_032,icon_ribbon_s04_032,0
33,1094600,1137700,43100,0,icon_rank_officer_s04_sm_07,icon_rank_officer_s04_07,,30332,ch_elder_s4_chall_033,icon_ribbon_s04_033,0
34,1137700,1181500,43800,0,icon_rank_officer_s04_sm_07,icon_rank_officer_s04_07,,30333,ch_elder_s4_chall_034,icon_ribbon_s04_034,0
35,1181500,1226000,44500,0,icon_rank_officer_s04_sm_07,icon_rank_officer_s04_07,,30334,ch_elder_s4_chall_035,icon_ribbon_s04_035,0
36,1226000,1271200,45200,0,icon_rank_officer_s04_sm_08,icon_rank_officer_s04_08,3958,30335,ch_elder_s4_chall_036,icon_ribbon_s04_036,0
37,1271200,1317100,45900,0,icon_rank_officer_s04_sm_08,icon_rank_officer_s04_08,,30336,ch_elder_s4_chall_037,icon_ribbon_s04_037,0
38,1317100,1363700,46600,0,icon_rank_officer_s04_sm_08,icon_rank_officer_s04_08,,30337,ch_elder_s4_chall_038,icon_ribbon_s04_038,0
39,1363700,1411000,47300,0,icon_rank_officer_s04_sm_08,icon_rank_officer_s04_08,,30338,ch_elder_s4_chall_039,icon_ribbon_s04_039,0
40,1411000,1459000,48000,0,icon_rank_officer_s04_sm_08,icon_rank_officer_s04_08,,30339,ch_elder_s4_chall_040,icon_ribbon_s04_040,0
