ui_generator_active,1,,c,b,0,0,1,,,,,,
ui_generator_type,1,,c,i,1,1,4,,,,,,
ui_generator_state,1,,c,i,0,0,9,,,,,,
ui_generator_numtiers,1,,c,i,1,1,100,,,,,,
ui_generator_numtiers_won,1,,c,i,1,0,100,,,,,,
ui_generator_confirm_width,1,,c,f,1,1,100,,,,,,
ui_generator_confirm_alpha,1,,c,f,1,0,1,1,,,,,
ui_generator_confirm_startpos,1,,c,f,0.7,0,1,,,,,,
ui_generator_confirm_speed,1,,c,f,1,0,10,,,,,,
ui_generator_progressfill,1,,c,f,0,0,1,1,,,,,
ui_generator_sweetspot_width,1,,c,f,1,0,100,,,,,,
ui_generator_sweetspot_alpha,1,,c,f,1,0,1,1,,,,,
ui_generator_sweetspot_startpos,1,,c,f,0.5,0,1,,,,,,
