0,none,0,,reticle_default,0,,,,challenge,0,1,reticle_default,reticle_holo_default
1,acogdef,0,,reticle_acog_default,0,1,acog,,challenge,0,1,,
2,holodef,0,,reticle_holo_default,0,1,holo,,challenge,0,1,,
3,hybriddef,0,,reticle_hybrid_default,0,1,hybrid,,challenge,0,1,,
4,reflexdef,0,,reticle_reflex_default,0,1,reflex,,challenge,0,1,,
5,thermaldef,0,,reticle_thermal_default,0,1,thermal,,challenge,0,1,,
6,vzscopedef,0,,reticle_vzscope_default,0,1,vzscope,,challenge,0,1,,
7,ret01,0,,reticle_01,1,,holo,,challenge,0,1,,
8,ret02,0,,reticle_02,1,,reflex,,challenge,0,1,,
9,ret03,0,,reticle_03,2,,reflex,,challenge,0,1,,
10,ret04,0,,reticle_04,3,,reflex,,challenge,0,1,,
11,ret05,0,,reticle_05,4,,reflex,,challenge,0,1,,
12,ret06,0,,reticle_06,5,,reflex,,challenge,0,1,,
13,ret07,0,,reticle_07,2,,holo,,challenge,0,1,,
14,ret08,0,,reticle_08,6,,reflex,,challenge,0,1,,
15,ret09,0,,reticle_09,7,,reflex,,challenge,0,1,,
16,ret10,0,,reticle_10,8,,reflex,,challenge,0,1,,
17,ret11,0,,reticle_11,3,,holo,,challenge,0,1,,
18,ret12,0,,reticle_12,4,,holo,,challenge,0,1,,
19,ret13,0,,reticle_13,5,,holo,,challenge,0,1,,
20,ret14,0,,reticle_14,1,,acog,,challenge,0,1,,
21,ret15,0,,reticle_15,2,,acog,,challenge,0,1,,
22,ret16,0,,reticle_16,3,,acog,,challenge,0,1,,
23,ret17,0,,reticle_17,4,,acog,,challenge,0,1,,
24,ret18,0,,reticle_18,5,,acog,,challenge,0,1,,
25,ret19,0,,reticle_19,1,,thermal,,challenge,0,1,,
26,ret20,0,,reticle_20,2,,thermal,,challenge,0,1,,
27,ret21,0,,reticle_21,6,,acog,,challenge,0,1,,
28,ret22,0,,reticle_22,7,,acog,,challenge,0,1,,
29,ret23,0,,reticle_23,6,,holo,,challenge,0,1,,
30,ret24,0,,reticle_24,9,,reflex,,challenge,0,1,,
31,ret25,0,,reticle_25,7,,holo,,challenge,0,1,,
32,ret26,0,,reticle_26,8,,holo,,challenge,0,1,,
33,ret27,0,,reticle_27,3,,thermal,,challenge,0,1,,
34,ret28,0,,reticle_28,4,,thermal,,challenge,0,1,,
35,ret29,0,,reticle_29,5,,thermal,,challenge,0,1,,
36,ret30,0,,reticle_30,6,,thermal,,challenge,0,1,,
37,ret31,0,,reticle_31,7,,thermal,,challenge,0,1,,
38,ret32,0,,reticle_14,1,,hybrid,,challenge,0,1,reticle_33,reticle_14_hybrid
39,ret33,0,,reticle_15,2,,hybrid,,challenge,0,1,reticle_reflex_default3,reticle_15_hybrid_b
40,ret34,0,,reticle_16_hybrid,3,,hybrid,,challenge,0,1,reticle_04,reticle_04
41,ret35,0,,reticle_17_hybrid_a,4,,hybrid,,challenge,0,1,reticle_17_hybrid_b,reticle_17_hybrid_b
42,ret36,0,,reticle_18,5,,hybrid,,challenge,0,1,reticle_reflex_default3,reticle_18_hybrid
43,ret37,0,,reticle_21,6,,hybrid,,challenge,0,1,reticle_reflex_default,reticle_21_hybrid
44,ret38,0,,reticle_22,7,,hybrid,,challenge,0,1,reticle_32,reticle_22_hybrid
45,ret39,0,,reticle_19,1,,hybridthermal,,challenge,0,1,reticle_02,
46,ret40,0,,reticle_20,2,,hybridthermal,,challenge,0,1,reticle_04,
47,ret41,0,,reticle_27,3,,hybridthermal,,challenge,0,1,reticle_05,
48,ret42,0,,reticle_28,4,,hybridthermal,,challenge,0,1,reticle_06,
49,ret43,0,,reticle_29,5,,hybridthermal,,challenge,0,1,reticle_10,
50,ret44,0,,reticle_30,6,,hybridthermal,,challenge,0,1,reticle_24,
51,ret45,0,,reticle_31,7,,hybridthermal,,challenge,0,1,reticle_32,
52,ret46,0,,reticle_32,10,,reflex,,challenge,0,1,,
53,ret47,0,,reticle_32,9,,holo,,challenge,0,1,,
54,ret48,0,,reticle_48,11,,reflex,,purchase,0,1,,
55,ret49,0,,reticle_48,10,,holo,,purchase,0,1,,
56,ret50,0,,reticle_default,12,1,thermal,,challenge,0,1,,
57,retsnpr01,0,,snp_reticle_01,1,,scope,,challenge,0,1,,
58,retsnpr02,0,,snp_reticle_02,2,,scope,,challenge,0,1,,
59,retsnpr03,0,,snp_reticle_03,3,,scope,,challenge,0,1,,
60,retsnpr04,0,,snp_reticle_04,4,,scope,,challenge,0,1,,
61,retsnpr05,0,,snp_reticle_05,5,,scope,,challenge,0,1,,
62,retsnpr06,0,,snp_reticle_06,6,,scope,,challenge,0,1,,
63,retsnpr07,0,,snp_reticle_07,7,,scope,,challenge,0,1,,
64,retsnpr08,0,,snp_reticle_08,8,,scope,,challenge,0,1,,
65,retsnpr09,0,,snp_reticle_09,9,,scope,,challenge,0,1,,
66,retsnpr10,0,,snp_reticle_10,10,,scope,,challenge,0,1,,
67,retsnpr11,0,,snp_reticle_11,11,,scope,,challenge,0,1,,
68,retsnpr12,0,,reticle_default,12,1,vzscope,,challenge,0,1,,
69,retsnpr13,0,,reticle_default,13,1,vzscope,,challenge,0,1,,
70,retsnpr14,0,,reticle_default,14,1,vzscope,,challenge,0,1,,
71,retsnpr15,0,,reticle_default,15,1,vzscope,,challenge,0,1,,
72,retsnpr16,0,,reticle_default,16,1,vzscope,,challenge,0,1,,
73,retsnpr17,0,,reticle_default,17,1,vzscope,,challenge,0,1,,
74,retsnpr18,0,,reticle_default,18,1,vzscope,,challenge,0,1,,
75,retsnpr19,0,,reticle_default,19,1,vzscope,,challenge,0,1,,
76,retsnpr20,0,,reticle_default,20,1,vzscope,,challenge,0,1,,
77,retsnpr21,0,,reticle_default,21,1,vzscope,,challenge,0,1,,
78,retsnpr22,0,,reticle_default,22,1,vzscope,,challenge,0,1,,
79,retsnpr23,0,,reticle_default,23,1,vzscope,,challenge,0,1,,
80,retsnpr24,0,,reticle_default,24,1,vzscope,,challenge,0,1,,
81,retsnpr25,0,,reticle_default,25,1,vzscope,,challenge,0,1,,
82,retsnpr26,0,,reticle_default,26,1,vzscope,,challenge,0,1,,
83,retsnpr27,0,,reticle_default,27,1,vzscope,,challenge,0,1,,
84,retsnpr28,0,,reticle_default,28,1,vzscope,,challenge,0,1,,
85,retsnpr29,0,,reticle_default,29,1,vzscope,,challenge,0,1,,
86,retsnpr30,0,,reticle_default,30,1,vzscope,,challenge,0,1,,
