47827,cer_zm_questline_terminus_standard,0,0,1,87577+86479+69063,5000,zm_t10_quartz,Standard,,,,,,,ZM,0
47833,cer_zm_questline_terminus_standard_early,0,0,1,69062,,zm_t10_quartz,Standard Early,,,,,,,ZM,0
47831,cer_zm_questline_terminus_guided,0,0,1,86479+69064,5000,zm_t10_quartz,Guided,,,,,,,ZM,0
51965,cer_zm_questline_terminus_boba,0,0,1,56164+93307,10000,zm_t10_quartz,Boba,,,,,,,ZM,0
54122,cer_zm_questline_terminus_tcranked,0,0,1,56163,15000,zm_t10_quartz,Cranked,,,,,,,ZM,0
47837,cer_zm_questline_libertyfalls_standard,0,0,1,72142+86478+69060,5000,zm_t10_garnet,Standard,,,,,,,ZM,0
47838,cer_zm_questline_libertyfalls_standard_early,0,0,1,69059,,zm_t10_garnet,Standard Early,,,,,,,ZM,0
47839,cer_zm_questline_libertyfalls_guided,0,0,1,86478+69061,5000,zm_t10_garnet,Guided,,,,,,,ZM,0
51966,cer_zm_questline_libertyfalls_boba,0,0,1,56153+93308,10000,zm_t10_garnet,Boba,,,,,,,ZM,0
54123,cer_zm_questline_libertyfalls_tcranked,0,0,1,90141,15000,zm_t10_garnet,Cranked,,,,,,,ZM,0
50049,cer_zm_questline_keep_standard,0,0,1,91757+91771+72171,5000,zm_t10_bloodstone,Standard,,,,,,,ZM,0
50050,cer_zm_questline_keep_standard_early,0,0,1,72170,,zm_t10_bloodstone,Standard Early,,,,,,,ZM,0
50051,cer_zm_questline_keep_guided,0,0,1,91771+72172,5000,zm_t10_bloodstone,Guided,,,,,,,ZM,0
51967,cer_zm_questline_keep_boba,0,0,1,57737+93301,10000,zm_t10_bloodstone,Boba,,,,,,,ZM,0
54124,cer_zm_questline_keep_tcranked,0,0,1,91290,15000,zm_t10_bloodstone,Cranked,,,,,,,ZM,0
50951,cer_zm_questline_dig_standard,0,0,1,93664+93698+72174,5000,zm_t10_opal,Standard,,,,,,,ZM,0
50953,cer_zm_questline_dig_standard_early,0,0,1,72173,,zm_t10_opal,Standard Early,,,,,,,ZM,0
50954,cer_zm_questline_dig_guided,0,0,1,93698+72175,5000,zm_t10_opal,Guided,,,,,,,ZM,0
51968,cer_zm_questline_dig_boba,0,0,1,56150+93303,10000,zm_t10_opal,Boba,,,,,,,ZM,0
54125,cer_zm_questline_dig_tcranked,0,0,1,70203,15000,zm_t10_opal,Cranked,,,,,,,ZM,0
52068,cer_zm_questline_mansion_standard,0,0,1,93451+97451+72176,5000,zm_t10_topaz,Standard,,,,,,,ZM,0
52069,cer_zm_questline_mansion_standard_early,0,0,1,72177,,zm_t10_topaz,Standard Early,,,,,,,ZM,0
54126,cer_zm_questline_mansion_tcranked,0,0,1,56164,15000,zm_t10_topaz,Cranked,,,,,,,ZM,0
