9983,iw9_ch_gununlock_mcbravo,0,0,15,0,11345,,,,,0
9984,iw9_ch_gununlock_mcharlie,0,0,50,0,11346,,,,1,0
9985,iw9_ch_gununlock_mpapax,0,0,25,0,11335,,,,,0
9986,iw9_ch_gununlock_alpha50,0,0,15,0,11359,,,,,0
15123,ub_gl_drill_akilo_unlock,0,0,10,2500,24709,,,,,0
15125,ub_gl_drill_mini_unlock,0,0,20,5000,24710,,,,,0
15124,ub_gl_drill_scharlie_unlock,0,0,20,5000,24711,,,,,0
15135,pgrip_ass_p42_unlock,0,0,15,2500,23551,,,,,0
16911,akimbo_tango9_unlock,0,0,25,2500,24594,,,,,0
17649,ubsh_db_unlock,0,0,15,2500,34377,,,,,0
11722,iw9_ch_gununlock_crossbow,0,0,50,0,11322,,,,,0
11723,iw9_ch_gununlock_acharlie300,0,0,50,0,14657,,,,,0
11724,iw9_ch_gununlock_vecho,0,0,50,0,13531,,,,,0
12096,iw9_ch_gununlock_sword01,0,0,100,0,16017,,,,,0
14829,iw9_ch_gununlock_tango9,0,0,50,0,24089,,,,,0
14830,iw9_ch_gununlock_dechoauto,0,0,30,0,24472,,,,,0
14832,iw9_ch_gununlock_throwstar,0,0,50,0,23263,,,,,0
12384,iw9_ch_gununlock_stango25,0,0,25,0,16976,,,,,0
13215,iw9_ch_gununlock_ngsierra,0,0,30,0,22002,,,,,0
13216,iw9_ch_gununlock_india,0,0,30,0,22228,,,,,0
15412,iw9_ch_gununlock_helima,0,0,35,0,26647,,,,,0
15413,iw9_ch_gununlock_acharlie45,0,0,45,0,26710,,,,,0
17059,iw9_ch_gununlock_tonfa,0,0,1,0,25653,,,,,0
17155,iw9_ch_seasonal_s45_shotgun_pointblank_unlock,0,0,30,2000,29624,,,,,0
20628,iw9_ch_gununlock_fecho,0,0,35,0,29324,,,,,0
20629,iw9_ch_gununlock_walpha,0,0,25,0,31576,,,,,0
21713,iw9_ch_gununlock_ralpha_2,0,0,35,2000,30679,,,,,0
21443,iw9_ch_seasonal_s55_bp_1,0,0,15,2000,35505,,,,,0
21445,iw9_ch_seasonal_s55_bp_3,0,0,15,2000,32914,,,,,0
21447,iw9_ch_seasonal_s55_bp_5,0,0,30,2000,35487,,,,,0
