17182,25542|25538|15314|15318|25555|25559|15655|15658|25723|16608|35358|38119,0
11302,15305|15306|15307|15308|15309|15310|15311|15435|15436|15437|15438|15439|15440|15441|15668|15669|15670|15671|15672|15673|15674|15647|15648|15649|15650|15651|15652|15653|16600|16601|16602|16603|16604|16605|16606|16696|16697|16698|16699|16700|16701|16702|1672,0
17209,25545|25547,0
17186,25556|15656,0
17194,25562|25560|15657|15659,0
17199,25745|25748|16734|16737|28017|16862|25869|16894,0
17181,25762|25764|25765|16792|16795|16794|28016|16861|25868|16891|28928|28950|28958|28978|29015|29036,0
17183,28011|28012|16835|16836|25873|35411|38174,0
17197,28015|25867,0
17192,16860|16890,0
17218,16892,0
17216,28865|28892|28926|28976|29014|29035,0
32080,28924|28974|29012|29033,0
13531,35272|38031,0
17212,35379|35394|35396|35410|38141|38156|38159|38173,0
11329,35401|35416|38165|38179,0
17184,38120,0
