iw9_ar_mike4,0,0,icon_weapon_ar_mike4,rand_assault+rand_primary+rand_weapon,0
iw9_sm_mpapa5,4,0,icon_weapon_sm_mpapa5,rand_smg+rand_primary+rand_weapon,0
iw9_dm_pgolf1,6,0,icon_weapon_sn_sksierra,rand_dmr+rand_sniperdmr+rand_primary+rand_weapon,0
iw9_sn_alpha50,8,0,icon_weapon_sn_alpha50,rand_sniper+rand_sniperdmr+rand_primary+rand_weapon,0
iw9_lm_slima,10,0,icon_weapon_lm_kilo121,rand_lmg+rand_primary+rand_weapon,0
iw9_sh_mbravo,11,0,icon_weapon_sh_romeo870,rand_shotgun+rand_primary+rand_weapon,0
iw9_pi_golf17,13,0,icon_weapon_pi_golf21,rand_pistol+rand_weapon,0
equip_frag,23,0,hud_icon_equipment_frag,rand_lethal,0
equip_semtex,24,0,hud_icon_equipment_semtex,rand_lethal,0
equip_molotov,25,0,hud_icon_equipment_molotov,rand_lethal,0
equip_claymore,26,0,hud_icon_equipment_claymore,rand_lethal,0
equip_throwing_knife,27,0,hud_icon_equipment_throwing_knife,rand_lethal,0
equip_throwing_knife_fire,28,0,hud_icon_equipment_throwing_knife_fire,rand_lethal,0
equip_c4,29,0,hud_icon_equipment_c4,rand_lethal,0
equip_thermite,30,0,hud_icon_equipment_thermite,rand_lethal,0
equip_at_mine,31,0,hud_icon_equipment_at_mine,rand_lethal,0
equip_flash,32,0,hud_icon_equipment_flash,rand_tactical,0
equip_smoke,33,0,hud_icon_equipment_smoke,rand_tactical,0
equip_concussion,34,0,hud_icon_equipment_stun,rand_tactical,0
equip_adrenaline,35,0,hud_icon_equipment_stim,rand_tactical,0
equip_trophy,36,0,hud_icon_fieldupgrade_trophy,rand_tactical,0
equip_snapshot_grenade,37,0,hud_icon_equipment_snapshot,rand_tactical,0
equip_decoy,38,0,hud_icon_equipment_decoy,rand_tactical,0
equip_snowball,39,0,hud_icon_equipment_snowball,snow,0
equip_pball,40,0,hud_icon_equipment_snowball_pball,snow,0
none,41,0,hud_icon_weapon_me_fist,rand_none,0
