14763,jup_sb_ch_prestige_s1_throwing_knife_kills,0,0,0,10|25|50,||44365,500|1000|2000,1,1,,,0,1000,,,0
14764,jup_sb_ch_prestige_s1_smg_hipfire,0,0,0,10|25|50,||44366,500|1000|2000,1,2,,,0,1000,,,0
15742,jup_sb_ch_prestige_s1_assault_rifle_kills,0,0,0,50|100|250,||44367,500|1000|2000,1,3,,,0,1000,,,0
14776,jup_sb_ch_prestige_s1_switchblade_drone_kills,0,0,0,5|10|20,||44368,500|1000|2000,1,4,,,0,1000,,,0
14778,jup_sb_ch_prestige_s1_alternate_ammo_kills,0,0,0,50|100|250,||44369,500|1000|2000,2,1,,,0,1000,,,0
14795,jup_sb_ch_prestige_s1_butterfly_mine_hits,0,0,0,10|25|50,||44370,500|1000|2000,2,2,,,0,1000,,,0
14796,jup_sb_ch_prestige_s1_tactical_stance_headshots,0,0,0,10|25|50,||44371,500|1000|2000,2,3,,,0,1000,,,0
14797,jup_sb_ch_prestige_s1_killstreaks_destroyed,0,0,0,3|5|10,||44372,500|1000|2000,2,4,,,0,1000,,,0
27471,jup_sb_ch_prestige_s1_smg_tac_stance_kills,0,0,0,50|100|250,||44373,500|1000|2000,3,1,,,0,1000,,,0
16566,jup_sb_ch_prestige_s1_pistol_hipfire_kills,0,0,0,50|100|250,||44374,500|1000|2000,3,2,,,0,1000,,,0
14800,jup_sb_ch_prestige_s1_breacher_drone_kills,0,0,0,3|5|10,||44375,500|1000|2000,3,3,,,0,1000,,,0
14808,jup_sb_ch_prestige_s1_shotgun_hipfire_kills,0,0,0,25|50|100,||44376,500|1000|2000,3,4,,,0,1000,,,0
14802,jup_sb_ch_prestige_s1_5_kill_streak,0,0,0,1|3|5,||44377,500|1000|2000,4,1,,,0,1000,,,0
16568,jup_sb_ch_prestige_s1_first_blood_kills,0,0,0,10|25|50,||44378,500|1000|2000,4,2,,,0,1000,,,0
14803,jup_sb_ch_prestige_s1_marksman_double_kill,0,0,0,3|5|10,||44379,500|1000|2000,4,3,,,0,1000,,,0
16100,jup_sb_ch_prestige_s1_aftermarket_parts_kills,0,0,0,50|100|250,||44380,500|1000|2000,4,4,,,0,1000,,,0
14804,jup_sb_ch_prestige_s1_canvas_sneaker_kills,0,0,0,50|100|250,||44381,500|1000|2000,5,1,,,0,1000,,,0
14805,jup_sb_ch_prestige_s1_lmg_headshot_kills,0,0,0,5|10|25,||44382,500|1000|2000,5,2,,,0,1000,,,0
14806,jup_sb_ch_prestige_s1_melee_kills,0,0,0,10|25|50,||44383,500|1000|2000,5,3,,,0,1000,,,0
14807,jup_sb_ch_prestige_s1_killstreak_kills,0,0,0,5|10|25,||44384,500|1000|2000,5,4,,,0,1000,,,0
14835,jup_ch_prestige_s1_mastery_1,0,0,0,4,44385,,1,1,14763|14764|14776|15742,,0,1000,,,0
14836,jup_ch_prestige_s1_mastery_2,0,0,0,4,44386,,2,3,14778|14795|14796|14797,,0,1000,,,0
14838,jup_ch_prestige_s1_mastery_3,0,0,0,4,44387,,3,5,27471|14800|14808|16566,,0,1000,,,0
14839,jup_ch_prestige_s1_mastery_4,0,0,0,4,44388,,4,7,14802|14803|16100|16568,,0,1000,,,0
14843,jup_ch_prestige_s1_mastery_5,0,0,0,4,44389,,5,9,14804|14805|14806|14807,,0,1000,,,0
21391,jup_ob_sb_ch_s1_p1_hold_all_these_knives,0,0,0,1,46479,3000,1,1,,,0,1000,,,0
21394,jup_ob_sb_ch_s1_p1_speed_demon,0,0,0,200,46470,3000,1,2,,,0,1000,,,0
21395,jup_ob_sb_ch_s1_p1_thats_classified,0,0,0,1,46475,3000,1,3,,,0,1000,,,0
21396,jup_ob_sb_ch_s1_p1_charred_flesh,0,0,0,25,46473,3000,1,4,,,0,1000,,,0
21398,jup_ob_sb_ch_s1_p1_prestige_mastery_1,0,0,0,4,36213,5000,1,2,21391|21394|21395|21396,,0,1000,,,0
21426,jup_ob_sb_ch_s1_p2_bab_yaga,0,0,0,250,46482,3000,2,1,,,0,1000,,,0
21427,jup_ob_sb_ch_s1_p2_tripod_mounted,0,0,0,50,46480,3000,2,2,,,0,1000,,,0
21428,jup_ob_sb_ch_s1_p2_cut_them_down,0,0,0,10,46478,3000,2,3,,,0,1000,,,0
21429,jup_ob_sb_ch_s1_p2_frosted,0,0,0,75,44351,3000,2,4,,,0,1000,,,0
21430,jup_ob_sb_ch_s1_p2_prestige_mastery_2,0,0,0,4,36215,5000,2,4,21426|21427|21428|21429,,0,1000,,,0
21432,jup_ob_sb_ch_s1_p3_wave_breaker,0,0,0,30,46472,3000,3,1,,,0,1000,,,0
21433,jup_ob_sb_ch_s1_p3_unbridled_rage,0,0,0,1,46471,3000,3,2,,,0,1000,,,0
21434,jup_ob_sb_ch_s1_p3_you_can_do_that,0,0,0,150,46483,3000,3,3,,,0,1000,,,0
21435,jup_ob_sb_ch_s1_p3_something_in_common,0,0,0,1000,36286,3000,3,4,,,0,1000,,,0
21436,jup_ob_sb_ch_s1_p3_prestige_3_mastery,0,0,0,4,36287,5000,3,6,21432|21433|21434|21435,,0,1000,,,0
23153,jup_ob_sb_ch_s1_p4_ampd_up,0,0,0,1000,46485,3000,4,1,,,0,1000,,,0
23155,jup_ob_sb_ch_s1_p4_team_medic,0,0,0,15,46477,3000,4,2,,,0,1000,,,0
23160,jup_ob_sb_ch_s1_p4_unlimited_power,0,0,0,1,36216,3000,4,3,,,0,1000,,,0
