0,none,,0,menu_default_slot,standard,,,,1
0,placement_sticker_1,,0,menu_default_slot,,1,,,0
0,placement_sticker_2,,0,menu_default_slot,,1,,,0
0,placement_sticker_3,,0,menu_default_slot,,1,,,0
0,placement_sticker_4,,0,menu_default_slot,,1,,,0
1,sticker_iw9_001,,0,ui_sticker_001,standard,,,,0
2,sticker_iw9_002,,0,ui_sticker_002,standard,,,,0
3,sticker_iw9_003,,0,ui_sticker_003,standard,,,,0
4,sticker_iw9_004,,0,ui_sticker_004,standard,,,,0
5,sticker_iw9_005,,0,ui_sticker_005,standard,,,,0
6,sticker_iw9_006,,0,ui_sticker_006,standard,,,,0
7,sticker_iw9_007,,0,ui_sticker_007,standard,,,,0
8,sticker_iw9_008,,0,ui_sticker_008,standard,,,,0
9,sticker_iw9_009,,0,ui_sticker_009,standard,,,,0
10,sticker_iw9_010,,0,ui_sticker_010,standard,,,,0
11,sticker_iw9_011,,0,ui_sticker_011,standard,,,,0
12,sticker_iw9_012,,0,ui_sticker_012,standard,,,,0
13,sticker_iw9_013,,0,ui_sticker_013,standard,,,,0
14,sticker_iw9_014,,0,ui_sticker_014,standard,,,,0
15,sticker_iw9_015,,0,ui_sticker_015,standard,,,,0
16,sticker_iw9_016,,0,ui_sticker_016,standard,,,,0
17,sticker_iw9_017,,0,ui_sticker_017,standard,,,,0
18,sticker_iw9_018,,0,ui_sticker_018,standard,,,,0
19,sticker_iw9_019,,0,ui_sticker_019,standard,1,,,0
20,sticker_iw9_020,,0,ui_sticker_020,standard,1,,,0
21,sticker_iw9_021,,0,ui_sticker_021,standard,1,,,0
22,sticker_iw9_022,,0,ui_sticker_022,standard,1,,,0
23,sticker_iw9_023,,0,ui_sticker_023,standard,1,,,0
24,sticker_iw9_024,,0,ui_sticker_024,standard,1,,,0
25,sticker_iw9_025,,0,ui_sticker_025,standard,1,,,0
26,sticker_iw9_026,,0,ui_sticker_026,standard,1,,,0
27,sticker_iw9_027,,0,ui_sticker_027,standard,1,,,0
28,sticker_iw9_028,,0,ui_sticker_028,standard,1,,,0
29,sticker_iw9_029,,0,ui_sticker_029,standard,1,,,0
30,sticker_iw9_030,,0,ui_sticker_030,standard,1,,,0
31,sticker_iw9_031,,0,ui_sticker_031,standard,,,,0
32,sticker_iw9_032,,0,ui_sticker_032,standard,,,,0
33,sticker_iw9_033,,0,ui_sticker_033,standard,1,,,0
34,sticker_iw9_034,,0,ui_sticker_034,standard,1,,,0
35,sticker_iw9_035,,0,ui_sticker_035,standard,1,,,0
36,sticker_iw9_036,,0,ui_sticker_036,standard,1,,,0
37,sticker_iw9_037,,0,ui_sticker_037,standard,,,,0
38,sticker_iw9_038,,0,ui_sticker_038,standard,,,,0
39,sticker_iw9_039,,0,ui_sticker_039,standard,,,,0
40,sticker_iw9_040,,0,ui_sticker_040,standard,,,,0
41,sticker_iw9_041,,0,ui_sticker_041,standard,,,,0
42,sticker_iw9_042,,0,ui_sticker_042,standard,,,,0
43,sticker_iw9_043,,0,ui_sticker_043,standard,,,,0
44,sticker_iw9_044,,0,ui_sticker_044,standard,,,,0
