0,1,name,name,1,
0,1,weaponSetups.0.weaponLootID,components.primary.itemID,2,
0,1,weaponSetups.0.attachmentSetup.0.attachmentLootID,components.primary.components.attach1.itemID,3,
0,1,weaponSetups.0.attachmentSetup.0.attachmentBlueprintLootID,components.primary.components.attach1.components.attachBP.itemID,200,
0,1,weaponSetups.0.attachmentSetup.1.attachmentLootID,components.primary.components.attach2.itemID,4,
0,1,weaponSetups.0.attachmentSetup.1.attachmentBlueprintLootID,components.primary.components.attach2.components.attachBP.itemID,201,
0,1,weaponSetups.0.attachmentSetup.2.attachmentLootID,components.primary.components.attach3.itemID,5,
0,1,weaponSetups.0.attachmentSetup.2.attachmentBlueprintLootID,components.primary.components.attach3.components.attachBP.itemID,202,
0,1,weaponSetups.0.attachmentSetup.3.attachmentLootID,components.primary.components.attach4.itemID,6,
0,1,weaponSetups.0.attachmentSetup.3.attachmentBlueprintLootID,components.primary.components.attach4.components.attachBP.itemID,203,
0,1,weaponSetups.0.attachmentSetup.4.attachmentLootID,components.primary.components.attach5.itemID,7,
0,1,weaponSetups.0.attachmentSetup.4.attachmentBlueprintLootID,components.primary.components.attach5.components.attachBP.itemID,204,
0,1,weaponSetups.0.attachmentSetup.5.attachmentLootID,components.primary.components.attach6.itemID,8,
0,1,weaponSetups.0.attachmentSetup.5.attachmentBlueprintLootID,components.primary.components.attach6.components.attachBP.itemID,205,
0,1,weaponSetups.0.attachmentSetup.6.attachmentLootID,components.primary.components.attach7.itemID,9,
0,1,weaponSetups.0.attachmentSetup.6.attachmentBlueprintLootID,components.primary.components.attach7.components.attachBP.itemID,206,
0,1,weaponSetups.0.attachmentSetup.7.attachmentLootID,components.primary.components.attach8.itemID,10,
0,1,weaponSetups.0.attachmentSetup.7.attachmentBlueprintLootID,components.primary.components.attach8.components.attachBP.itemID,207,
0,1,weaponSetups.0.attachmentSetup.8.attachmentLootID,components.primary.components.attach9.itemID,11,
0,1,weaponSetups.0.attachmentSetup.8.attachmentBlueprintLootID,components.primary.components.attach9.components.attachBP.itemID,208,
0,1,weaponSetups.0.attachmentSetup.9.attachmentLootID,components.primary.components.attach10.itemID,12,
0,1,weaponSetups.0.attachmentSetup.9.attachmentBlueprintLootID,components.primary.components.attach10.components.attachBP.itemID,209,
0,1,weaponSetups.0.attachmentSetup.10.attachmentLootID,components.primary.components.attach11.itemID,13,
0,1,weaponSetups.0.attachmentSetup.10.attachmentBlueprintLootID,components.primary.components.attach11.components.attachBP.itemID,210,
0,1,weaponSetups.0.attachmentSetup.11.attachmentLootID,components.primary.components.attach12.itemID,14,
0,1,weaponSetups.0.attachmentSetup.11.attachmentBlueprintLootID,components.primary.components.attach12.components.attachBP.itemID,211,
0,1,weaponSetups.0.attachmentSetup.12.attachmentLootID,components.primary.components.attach13.itemID,15,
0,1,weaponSetups.0.attachmentSetup.12.attachmentBlueprintLootID,components.primary.components.attach13.components.attachBP.itemID,212,
0,1,weaponSetups.0.attachmentSetup.13.attachmentLootID,components.primary.components.attach14.itemID,16,
0,1,weaponSetups.0.attachmentSetup.13.attachmentBlueprintLootID,components.primary.components.attach14.components.attachBP.itemID,213,
