include,omnvars/mp/omnvars_scorestreaks.csv,,,,,,
ui_br_altimeter_horizontal_speed,1,,c,i,0,0,999
ui_br_altimeter_vertical_speed,1,,c,i,0,0,999
ui_br_altimeter_deploy_height,1,,c,i,0,0,32767
ui_br_altimeter_height,1,,c,f,0,0,1
ui_br_altimeter_state,1,,c,i,0,0,2
ui_ctdm_timer,1,1,c,f,0,0,15
ui_ctdm_combo_score,1,1,c,i,0,0,32767
ui_ctdm_comboComplete,1,1,c,i,0,0,32767
ui_ctdm_buff_level,1,1,c,i,0,0,32767
ui_ctdm_buff_unlock_level,1,1,c,i,0,0,32767
ui_AlliesMomentumMeterMultiplier,1,,g,f,0,0,32767
ui_AxisMomentumMeterMultiplier,1,,g,f,0,0,32767
ui_momentumMeterValue,1,1,c,f,0,0,32767
ui_droploot_inv_0,1,,g,i,0,0,1000000
ui_droploot_inv_1,1,,g,i,0,0,1000000
ui_droploot_inv_2,1,,g,i,0,0,1000000
ui_droploot_inv_3,1,,g,i,0,0,1000000
ui_droploot_inv_4,1,,g,i,0,0,1000000
ui_droploot_inv_5,1,,g,i,0,0,1000000
ui_droploot_inv_6,1,,g,i,0,0,1000000
ui_droploot_inv_7,1,,g,i,0,0,1000000
ui_droploot_inv_8,1,,g,i,0,0,1000000
ui_droploot_inv_9,1,,g,i,0,0,1000000
ui_droploot_inv_10,1,,g,i,0,0,1000000
ui_droploot_inv_11,1,,g,i,0,0,1000000
ui_droploot_inv_12,1,,g,i,0,0,1000000
ui_droploot_inv_13,1,,g,i,0,0,1000000
ui_droploot_inv_14,1,,g,i,0,0,1000000
ui_droploot_inv_15,1,,g,i,0,0,1000000
ui_droploot_inv_16,1,,g,i,0,0,1000000
ui_droploot_inv_17,1,,g,i,0,0,1000000
ui_droploot_inv_18,1,,g,i,0,0,1000000
ui_droploot_inv_19,1,,g,i,0,0,1000000
