assault_1,0,0,white,assault_1,archetype_assault
assault_2,0,0,white,assault_2,archetype_assault
assault_3,0,0,white,assault_3,archetype_assault
heavy_1,0,0,white,heavy_1,archetype_heavy
heavy_2,0,0,white,heavy_2,archetype_heavy
heavy_3,0,0,white,heavy_3,archetype_heavy
scout_1,0,0,white,scout_1,archetype_scout
scout_2,0,0,white,scout_2,archetype_scout
scout_3,0,0,white,scout_3,archetype_scout
assassin_1,0,0,white,assassin_1,archetype_assassin
assassin_2,0,0,white,assassin_2,archetype_assassin
assassin_3,0,0,white,assassin_3,archetype_assassin
engineer_1,0,0,white,engineer_1,archetype_engineer
engineer_2,0,0,white,engineer_2,archetype_engineer
engineer_3,0,0,white,engineer_3,archetype_engineer
sniper_1,0,0,white,sniper_1,archetype_sniper
sniper_2,0,0,white,sniper_2,archetype_sniper
sniper_3,0,0,white,sniper_3,archetype_sniper
