weapon,2,0,0,0,placeholder_x,1,,0
attachment,7,0,0,0,placeholder_x,1,,0
operator,1,0,0,0,placeholder_x,1,,0
operator_skin,8,0,0,0,placeholder_x,1,,0
accessory,19,0,0,0,placeholder_x,1,,0
equipment,5,0,0,0,placeholder_x,1,,0
perk,6,0,0,0,placeholder_x,1,,0
killstreak,4,0,0,0,placeholder_x,1,,0
weapon_charm,16,0,0,0,placeholder_x,1,,0
reticle,14,0,0,0,placeholder_x,1,,0
progression,34,1,0,0,placeholder_x,0,,0
genericblueprint,57,0,0,0,placeholder_x,1,,0
playercards,11,0,0,0,placeholder_x,1,,0
emblems,12,0,0,0,placeholder_x,1,,0
emotes,49,0,0,0,placeholder_x,1,,0
spray,22,0,0,0,placeholder_x,1,,0
consumable,25,0,0,0,placeholder_x,1,,0
gestures,20,0,0,0,placeholder_x,1,,0
executions,9,0,0,0,placeholder_x,1,,0
taunts,10,0,0,0,placeholder_x,1,,0
intro,21,0,0,0,placeholder_x,1,,0
flares,99,0,0,0,placeholder_x,1,,0
contrail,40,0,0,0,placeholder_x,1,,0
parachute,39,0,0,0,placeholder_x,1,,0
camo,13,0,0,0,placeholder_x,1,,0
super,3,0,0,0,placeholder_x,1,,0
loadingscreen,36,0,0,0,placeholder_x,1,,0
calloutmarkerpingitem,37,0,0,0,placeholder_x,1,,0
sentinel,38,0,0,0,placeholder_x,1,,0
operator_quip,26,0,0,0,placeholder_x,1,,0
levelicon,58,0,0,0,placeholder_x,1,,0
fx,99,0,0,0,placeholder_x,1,,0
sticker,17,0,0,0,placeholder_x,1,,0
dlc,99,0,0,0,placeholder_x,1,,0
feature,23,0,0,0,placeholder_x,1,,0
special,29,0,0,0,placeholder_x,0,,0
firstpartylicence,24,1,0,0,placeholder_x,0,,0
tracker,99,1,0,0,placeholder_x,0,,0
bundle,27,0,0,0,placeholder_x,1,,0
role,18,0,0,0,placeholder_x,1,,0
battlepass,28,0,0,0,placeholder_x,1,,0
vehicle_horn,31,0,0,0,placeholder_x,1,,0
vehicle_camo,30,0,0,0,placeholder_x,1,,0
mission,32,0,0,0,placeholder_x,1,,0
vehicle_track,33,0,0,0,placeholder_x,1,,0
special_weapon,41,0,0,0,placeholder_x,1,,0
currencypack,35,0,0,0,placeholder_x,0,,0
instanceloot,44,0,0,0,placeholder_x,1,,0
wildcard,45,0,0,0,placeholder_x,0,,0
ammomod,46,0,0,0,placeholder_x,0,,0
kiosk,53,0,0,0,placeholder_x,0,,0
gobblegum,54,0,0,0,placeholder_x,1,,0
backpack_upgrade,55,0,0,0,placeholder_x,0,,0
trader,56,0,0,0,placeholder_x,0,,0
genericblueprint,57,0,0,0,placeholder_x,0,,0
clantag,59,0,0,0,placeholder_x,0,,0
iw9_sm_mpapa5_camos,219,0,0,0,placeholder_x,1,iw9_sm_mpapa5,0
iw9_sn_alpha50_camos,221,0,0,0,placeholder_x,1,iw9_sn_alpha50,0
iw9_sh_mbravo_camos,225,0,0,0,placeholder_x,1,iw9_sh_mbravo,0
iw9_lm_slima_camos,226,0,0,0,placeholder_x,1,iw9_lm_slima,0
iw9_dm_pgolf1_camos,228,0,0,0,placeholder_x,1,iw9_dm_pgolf1,0
iw9_ar_mike4_camos,229,0,0,0,placeholder_x,1,iw9_ar_mike4,0
iw9_pi_golf17_camos,231,0,0,0,placeholder_x,1,iw9_pi_golf17,0
iw9_me_knife_camos,234,0,0,0,placeholder_x,1,iw9_me_knife,0
iw9_ar_augolf_camos,235,0,0,0,placeholder_x,1,iw9_ar_augolf,0
iw9_la_rpapa7_camos,238,0,0,0,placeholder_x,1,iw9_la_rpapa7,0
gs_save_slot,99,0,0,0,placeholder_x,0,,0
iw9_sm_mpapa5_attachment,281,0,0,0,placeholder_x,1,iw9_sm_mpapa5,0
iw9_sn_alpha50_attachment,283,0,0,0,placeholder_x,1,iw9_sn_alpha50,0
iw9_sh_mbravo_attachment,287,0,0,0,placeholder_x,1,iw9_sh_mbravo,0
iw9_lm_slima_attachment,288,0,0,0,placeholder_x,1,iw9_lm_slima,0
iw9_dm_pgolf1_attachment,290,0,0,0,placeholder_x,1,iw9_dm_pgolf1,0
iw9_ar_mike4_attachment,291,0,0,0,placeholder_x,1,iw9_ar_mike4,0
iw9_pi_golf17_attachment,293,0,0,0,placeholder_x,1,iw9_pi_golf17,0
iw9_me_knife_attachment,296,0,0,0,placeholder_x,1,iw9_me_knife,0
iw9_ar_augolf_attachment,297,0,0,0,placeholder_x,1,iw9_ar_augolf,0
iw9_la_rpapa7_attachment,300,0,0,0,placeholder_x,1,iw9_la_rpapa7,0
