0,MP,rankedloadouts,loadouts,1,cer,0,0,
0,MP,privateloadouts,loadouts,1,cer,0,4,
0,MP,leagueplayloadouts,loadouts,1,cer,0,2,
0,MP,rankedloadouts,,4,cer,0,7,
0,MP,rankedloadouts,customizationsetup.selectedoperator,10,cer,0,11,
0,ZM,rankedloadouts,packs,5,cer,2,0,
0,MP,commondata,,6,cer,0,8,
0,ZM,commondata,,6,cer,0,8,
0,ZM,rankedloadouts,loadouts,3,cer,0,6,
0,ZM,rankedloadouts,,7,cer,0,9,
0,BR,wzrankedloadouts,loadouts,8,cer,0,1,
0,BR,wzprivateloadouts,loadouts,8,cer,0,5,
0,BR,wzleagueplayloadouts,loadouts,8,cer,0,3,
0,BR,wzrankedloadouts,,9,cer,0,10,
0,BR,wzrankedloadouts,customizationsetup.selectedoperator,11,cer,0,12,
0,BR,commondata,,6,cer,0,8,
