ui_zm_loot_container_index_0,1,,c,i,-1,-1,15,,,,,,,
ui_zm_loot_container_index_1,1,,c,i,-1,-1,15,,,,,,,
ui_zm_loot_container_index_2,1,,c,i,-1,-1,15,,,,,,,
ui_zm_loot_container_index_3,1,,c,i,-1,-1,15,,,,,,,
ui_zm_loot_container_rarity_0,1,,c,i,0,0,7,,,,,,,
ui_zm_loot_container_rarity_1,1,,c,i,0,0,7,,,,,,,
ui_zm_loot_container_rarity_2,1,,c,i,0,0,7,,,,,,,
ui_zm_loot_container_rarity_3,1,,c,i,0,0,7,,,,,,,
ui_zm_loot_container_pap_0,1,,c,i,0,0,3,,,,,,,
ui_zm_loot_container_pap_1,1,,c,i,0,0,3,,,,,,,
ui_zm_loot_container_pap_2,1,,c,i,0,0,3,,,,,,,
ui_zm_loot_container_pap_3,1,,c,i,0,0,3,,,,,,,
ui_zm_loot_container_ammomod_0,1,,c,i,0,0,7,,,,,,,
ui_zm_loot_container_ammomod_1,1,,c,i,0,0,7,,,,,,,
ui_zm_loot_container_ammomod_2,1,,c,i,0,0,7,,,,,,,
ui_zm_loot_container_ammomod_3,1,,c,i,0,0,7,,,,,,,
