91137,cer_firstparty_entitlement_cerberus_vault_pack05_bnet_sentinel,0
91139,cer_firstparty_entitlement_cerberus_vault_pack05_msstore_sentinel,0
91135,cer_firstparty_entitlement_cerberus_vault_pack05_psn_sentinel,0
91138,cer_firstparty_entitlement_cerberus_vault_pack05_steam_sentinel,0
91140,cer_firstparty_entitlement_cerberus_vault_pack05_ubi_sentinel,0
91136,cer_firstparty_entitlement_cerberus_vault_pack05_xbl_sentinel,0
91711,cer_firstparty_s1_blackcell_appstore_sentinel,1
86502,cer_firstparty_s1_blackcell_bnet_sentinel,1
91710,cer_firstparty_s1_blackcell_googleplay_sentinel,1
86504,cer_firstparty_s1_blackcell_msstore_sentinel,1
86500,cer_firstparty_s1_blackcell_psn_sentinel,1
86503,cer_firstparty_s1_blackcell_steam_sentinel,1
86505,cer_firstparty_s1_blackcell_ubi_sentinel,1
86501,cer_firstparty_s1_blackcell_xbl_sentinel,1
93725,cer_firstparty_s2_blackcell_appstore_sentinel,2
93720,cer_firstparty_s2_blackcell_bnet_sentinel,2
93724,cer_firstparty_s2_blackcell_googleplay_sentinel,2
93722,cer_firstparty_s2_blackcell_msstore_sentinel,2
93718,cer_firstparty_s2_blackcell_psn_sentinel,2
93721,cer_firstparty_s2_blackcell_steam_sentinel,2
93723,cer_firstparty_s2_blackcell_ubi_sentinel,2
93719,cer_firstparty_s2_blackcell_xbl_sentinel,2
96517,cer_firstparty_s3_blackcell_appstore_sentinel,3
96512,cer_firstparty_s3_blackcell_bnet_sentinel,3
96516,cer_firstparty_s3_blackcell_googleplay_sentinel,3
96514,cer_firstparty_s3_blackcell_msstore_sentinel,3
96510,cer_firstparty_s3_blackcell_psn_sentinel,3
96513,cer_firstparty_s3_blackcell_steam_sentinel,3
96515,cer_firstparty_s3_blackcell_ubi_sentinel,3
96511,cer_firstparty_s3_blackcell_xbl_sentinel,3
