invalid,UNKNOWN,PRESENCE/UNKNOWN_MAP,0,0
mp_t10_stealth,GOLD,PRESENCE/MP_T10_STEALTH,0,0
mp_t10_pillage,GOLD,PRESENCE/MP_T10_PILLAGE,0,0
mp_t10_canals,GOLD,PRESENCE/MP_T10_CANALS,0,0
mp_t10_island,GOLD,PRESENCE/MP_T10_ISLAND,0,0
mp_t10_radar,GOLD,PRESENCE/MP_T10_RADAR,0,0
mp_t10_traingraveyard,GOLD,PRESENCE/MP_T10_TRAINGRAVEYARD,0,0
mp_t10_redcard,GOLD,PRESENCE/MP_T10_REDCARD,0,0
mp_t10_penthouse,GOLD,PRESENCE/MP_T10_PENTHOUSE,0,0
mp_t10_stripmall,GOLD,PRESENCE/MP_T10_STRIPMALL,0,0
mp_t10_sm_babylon,GOLD,PRESENCE/MP_T10_SM_BABYLON,0,0
mp_t10_safehouse,GOLD,PRESENCE/MP_T10_SAFEHOUSE,0,0
mp_t10_vorkuta,GOLD,PRESENCE/MP_T10_VORKUTA,0,0
mp_t10_sm_vorkuta_mine,GOLD,PRESENCE/MP_T10_SM_VORKUTA_MINE,0,0
mp_t10_sm_flat,GOLD,PRESENCE/MP_T10_SM_FLAT,0,0
mp_t10_sm_capital,GOLD,PRESENCE/MP_T10_SM_CAPITAL,0,0
mp_t10_nuketown,GOLD,PRESENCE/MP_T10_NUKETOWN,0,0
zm_t10_garnet,GOLD,PRESENCE/ZM_T10_GARNET,0,0
zm_t10_quartz,GOLD,PRESENCE/ZM_T10_QUARTZ,0,0
mp_t10_area99,GOLD,PRESENCE/MP_T10_AREA99,0,0
mp_t10_trainingcourse,GOLD,PRESENCE/MP_T10_TRAININGCOURSE,0,0
mp_jup_bigmap_wz2,GOLD,PRESENCE/MP_JUP_BIGMAP_WZ2,0,0
mp_t10_hideout,GOLD,PRESENCE/MP_T10_HIDEOUT,0,0
mp_t10_extraction,GOLD,PRESENCE/MP_T10_EXTRACTION,0,0
mp_t10_sm_heirloom,GOLD,PRESENCE/MP_T10_SM_HEIRLOOM,0,0
mp_t10_nuketown_winter,GOLD,PRESENCE/MP_T10_NUKETOWN_WINTER,0,0
mp_t10_sm_reserve,GOLD,PRESENCE/MP_T10_SM_RESERVE,0,0
mp_t10_rm_hacienda_alt,GOLD,PRESENCE/MP_T10_RM_HACIENDA_ALT,0,0
mp_t10_fallout,GOLD,PRESENCE/MP_T10_FALLOUT,0,0
mp_t10_dealership,GOLD,PRESENCE/MP_T10_DEALERSHIP,0,0
mp_t10_charter,GOLD,PRESENCE/MP_T10_CHARTER,0,0
mp_t10_rm_grind,GOLD,PRESENCE/MP_T10_RM_GRIND,0,0
mp_t10_sm_bullet,GOLD,PRESENCE/MP_T10_SM_BULLET,0,0
zm_t10_bloodstone,GOLD,PRESENCE/ZM_T10_BLOODSTONE,0,0
zm_t10_opal,GOLD,PRESENCE/ZM_T10_OPAL,0,0
mp_wz2_escape,GOLD,PRESENCE/MP_WZ2_ESCAPE,0,0
mp_t10_firebase,GOLD,PRESENCE/MP_T10_FIREBASE,0,0
mp_t10_rm_firingrange2,GOLD,PRESENCE/MP_T10_RM_FIRINGRANGE2,0,0
mp_t10_sm_nomad,GOLD,PRESENCE/MP_T10_SM_NOMAD,0,0
zm_t10_topaz,GOLD,PRESENCE/ZM_T10_TOPAZ,0,0
mp_wz2_sierra,GOLD,PRESENCE/MP_WZ2_SIERRA,0,0
