ui_target_last_dmg_crit,1,,c,b,0,0,1,,
ui_target_health,1,,c,i,-1,-1,2147483646,,
ui_target_max_health,1,,c,i,0,0,2147483646,,
ui_target_health_notify,1,,c,n,,,,,
ui_target_entity_num,1,,c,i,-1,-1,4047,,
ui_target_corpse_entity_num,1,,c,i,-1,-1,4047,,
ui_target_category,1,,c,i,-1,-1,10,,
ui_target_settings,1,,c,i,-1,-1,1000,,
ui_target_state,1,,c,i,0,0,7,,
ui_target_state_notify,1,,c,n,,,,,
ui_target_difficulty,1,,c,i,-1,-1,10,,
ui_target_name_index,1,,c,i,0,0,128,,
ui_target_nameplate_vis,1,,c,b,0,,,,
ui_target_armor_health,1,,c,i,0,-1,2147483646,,
ui_target_max_armor_health,1,,c,i,0,-1,2147483646,,
ui_target_armor_notify,1,,c,n,,,,,
ui_target_client_id,1,,c,i,-1,-1,424,,
