include,omnvars/mp/omnvars_scorestreaks.csv,,,,,,
ui_br_altimeter_horizontal_speed,1,,c,i,0,0,999
ui_br_altimeter_vertical_speed,1,,c,i,0,0,999
ui_br_altimeter_deploy_height,1,,c,i,0,0,32767
ui_br_altimeter_height,1,,c,f,0,0,1
ui_br_altimeter_state,1,,c,i,0,0,2
ui_grind_tags,1,1,c,i,0,0,65535
ui_droploot_inv_0,1,,g,i,0,0,1000000
ui_droploot_inv_1,1,,g,i,0,0,1000000
ui_droploot_inv_2,1,,g,i,0,0,1000000
ui_droploot_inv_3,1,,g,i,0,0,1000000
ui_droploot_inv_4,1,,g,i,0,0,1000000
ui_droploot_inv_5,1,,g,i,0,0,1000000
ui_droploot_inv_6,1,,g,i,0,0,1000000
ui_droploot_inv_7,1,,g,i,0,0,1000000
ui_droploot_inv_8,1,,g,i,0,0,1000000
ui_droploot_inv_9,1,,g,i,0,0,1000000
ui_droploot_inv_10,1,,g,i,0,0,1000000
ui_droploot_inv_11,1,,g,i,0,0,1000000
ui_droploot_inv_12,1,,g,i,0,0,1000000
ui_droploot_inv_13,1,,g,i,0,0,1000000
ui_droploot_inv_14,1,,g,i,0,0,1000000
ui_droploot_inv_15,1,,g,i,0,0,1000000
ui_droploot_inv_16,1,,g,i,0,0,1000000
ui_droploot_inv_17,1,,g,i,0,0,1000000
ui_droploot_inv_18,1,,g,i,0,0,1000000
ui_droploot_inv_19,1,,g,i,0,0,1000000
is_in_training_course_tutorial_station,1,,c,b,0,0,1
training_course_current_station_unique_id,1,,c,i,-1,-1,100
training_course_current_station_type,1,,c,i,-1,-1,100
show_training_course_triptychs,1,,c,i,-1,-1,2147483646
current_tutorial_has_preview,1,,c,b,0,0,1
training_course_station_supports_instructions,1,,c,b,0,0,1
training_course_fail_hint_string_index,1,,c,i,-1,-1,2147483646
training_course_in_station_range,1,,c,i,-1,-1,2147483646
training_course_update_tutorial_list,1,,c,i,-1,-1,2147483646
training_course_tutorial_completed,1,,c,i,-1,-1,64
training_course_current_objective_string_index,1,,c,i,-1,-1,2147483646
training_course_current_objective_type,1,,c,i,-1,-1,100
training_course_current_hint_string_index,1,,c,i,-1,-1,2147483646
training_course_leave_game_request,1,,c,b,0,0,1
training_course_current_targets_hit_and_total_targets,1,,c,i,-1,-1,2147483646
training_course_show_target_counter,1,,c,b,0,0,1
