post_game_state,1,,c,i,0,0,20,,,,,,,
potg_transition,1,,c,b,0,,,,,,,,,
ui_securing,1,1,c,i,0,0,62,,,,,,,
ui_securing_progress,1,1,c,f,0,0,1,1,,,,,,
ui_hud_shake,1,,c,b,0,,,,,,,,,
physics_gravity_x,0,0,g,f,0,-3870,3870,,,,,,,
physics_gravity_y,0,0,g,f,0,-3870,3870,,,,,,,
physics_gravity_z,0,0,g,f,-386.09f,-3870,3870,,,,,,,
physics_gravity_ragdoll,0,0,g,f,1.0f,-100,100,,,,,,,
physics_gravity_dynent,0,0,g,f,1.0f,-100,100,,,,,,,
physics_gravity_particle,0,0,g,f,1.0f,-100,100,,,,,,,
reference_frame_global_pos_x,0,0,g,f,0,-131072,131072,,,,,,,
reference_frame_global_pos_y,0,0,g,f,0,-131072,131072,,,,,,,
reference_frame_global_pos_z,0,0,g,f,0,-131072,131072,,,,,,,
reference_frame_global_rot_x,0,0,g,f,0,-360,360,,,,,,,
reference_frame_global_rot_y,0,0,g,f,0,-360,360,,,,,,,
reference_frame_global_rot_z,0,0,g,f,0,-360,360,,,,,,,
weather_active_state_id,0,0,g,a,255,0,255,,,,,,,
weather_gate_0,0,0,g,i,2147483647,0,2147483647,,,,,,,
weather_gate_1,0,0,g,i,2147483647,0,2147483647,,,,,,,
weather_gate_2,0,0,g,i,2147483647,0,2147483647,,,,,,,
weather_gate_3,0,0,g,i,2147483647,0,2147483647,,,,,,,
weather_gate_4,0,0,g,i,2147483647,0,2147483647,,,,,,,
damage_feedback,1,1,c,s,none,,,,,,,,,
damage_feedback_notify,1,1,c,n,0,,,,,,,,,
damage_feedback_icon,1,1,c,s,none,,,,,,,,,
damage_icon_amount,1,1,c,i,1,0,3,,,,,,,
damage_feedback_icon_notify,1,1,c,n,0,,,,,,,,,
damage_feedback_kill,1,1,c,b,0,0,1,,,,,,,
damage_feedback_headshot,1,1,c,b,0,0,1,,,,,,,
damage_feedback_nonplayer,1,1,c,b,0,0,1,,,,,,,
damage_feedback_other,1,,c,s,standard,,,,,,,,,
damage_feedback_entity,1,1,c,i,0,-1,10000,,,,,,,
damage_feedback_entity_notify,1,1,c,n,0,,,,,,,,,
damage_feedback_armor,1,1,c,i,0,0,3,,,,,,,
damage_feedback_weapon,1,1,c,i,0,0,255,,,,,,,
