legend,icon_minimap_player,0,
legend,ui_mp_br_mapmenu_ping_navigation_squadleader,0,
vehicles,,0,
vehicles,hud_icon_minimap_vehicle_apc,0,
vehicles,hud_icon_minimap_vehicle_acv_6x6,0,
vehicles,hud_icon_minimap_vehicle_palfa,0,
vehicles,hud_icon_minimap_vehicle_littlebird,0,
vehicles,hud_icon_minimap_vehicle_armored_patrol,0,
vehicles,hud_icon_minimap_vehicle_rhib,0,
vehicles,hud_icon_minimap_vehicle_tank_cougar,0,
vehicles,hud_icon_minimap_vehicle_tank_coscar,0,
vehicles,hud_icon_minimap_vehicle_jltv_mg,0,
vehicles,hud_icon_minimap_vehicle_atv,0,
vehicles,hud_icon_minimap_vehicle_utv,0,
vehicles,hud_icon_minimap_vehicle_mil_cargo_truck,0,
vehicles,hud_icon_minimap_vehicle_suv_1996,0,
legend,ui_mp_br_ping_icon_domination,0,arm
legend,ui_mp_br_mapmenu_ping_navigation_squadleader,0,arm
legend,icon_waypoint_hq,0,gwbomb
legend,ui_mp_br_mapmenu_ping_navigation_squadleader,0,gwbomb
bottom,ui_map_icon_ammo_cache,0,
