30642,4476,87256,17861E5979CFFD40,32430,E54C601B668BD522,8B7D078258A6177F
30749,4477,87257,124C405DF37CAC7,32431,EDABCBB17CA1FAF5,5BF3F534085837B2
80979,4827,89091,92D0751CACD40436,32793,B34B161B7AFE6B68,32B54CD16889531
30582,4478,87258,7FEC63F8330D98F,32432,FED0AD8CD2B7B065,86BE5BEDB0BFDA02
30639,4479,87259,78A946F6994ED56E,32433,1886CF1E8F430228,5DF60D505A10CAF1
57675,4480,87260,4AE532DBDCDF60F1,32434,5FBB2B9154A9AD23,3A509223BD256BDC
17772,4482,87262,5954466DCE907C88,32436,859ECCC3EEDFD4CA,C9FAA4C1EC99C947
62262,4491,87271,645773D84770610C,32445,560444A4634EE3EE,310D620AB0A65803
80975,4492,87272,9AA0E07A8898CB30,32446,73B355E98EB64B22,AEE6B4D098CC997F
30581,4493,87273,2C93FAA42A8D3D41,32447,C4E2CE069763DD2F,C161FCEBAAA20720
55415,4494,87274,61820788A70635E9,32448,53D738780C1A639F,1B3864144A62530
30750,4792,88855,3572328D11DDFE65,32760,69D71DA7D703D0DF,5B15D89943DDF270
17766,4496,87276,4EB811C18AEACA9D,32450,1F6594D1EAD04053,CB2234F61C1292EC
30638,4505,87285,17F67DA3F8CDE384,32459,2B5FADE70D9359EA,E0E5ADAD9DD5EEE7
80403,4506,87286,8DDFAFE5F0CA825C,32460,505BDB5C5420E902,B208C9A98F3B14DF
30592,4507,87287,5EC3F6BDCD8D11A8,32461,898D9953A94753B6,E98C5CB48442DCEB
30742,4508,87288,DB1F83B2C161E6E,32462,2F1D1962E0ED6958,575DEAEA52B08781
30687,4509,87289,92F605D5A3F7466E,32463,548CC8F8C1C45DCC,772F09809469BACD
17762,4510,87290,AB66A72F28EC8A2E,32464,728C26E6392EA27C,C382BCC3C4BC7CDD
17755,4511,87291,6B3E454AA3D53CC7,32465,DD002BE73CDE928D,32FE6649CB6415EA
30579,4526,87306,79BF7A2EDC531A86,32480,14D3CC325652F538,F9F01CAE0DC00DE1
