maxrank,54,,,0,0,,,,,,,,,,,0
0,,0,200,0,0,,0,,,,,,1,1,,0
1,,200,300,0,0,,200,,,,,,2,2,,0
2,,500,400,0,0,,500,,,,,,3,3,,0
3,,900,400,0,0,,900,,,,,,4,4,,0
4,,1300,400,0,0,,1300,,,,,,5,5,,0
5,,1700,400,0,0,,1700,,,,,,6,6,,0
6,,2100,500,0,0,,2100,,,,,,7,7,,0
7,,2600,500,0,0,,2600,,,,,,8,8,,0
8,,3100,500,0,0,,3100,,,,,,9,9,,0
9,,3600,600,0,0,,3600,,,,,,10,10,,0
10,,4200,600,0,0,,4200,,,,,,11,11,,0
11,,4800,800,0,0,,4800,,,,,,12,12,,0
12,,5600,800,0,0,,5600,,,,,,13,13,,0
13,,6400,800,0,0,,6400,,,,,,14,14,,0
14,,7200,800,0,0,,7200,,,,,,15,15,,0
15,,8000,800,0,0,,8000,,,,,,16,16,,0
16,,8800,1000,0,0,,8800,,,,,,17,17,,0
17,,9800,1000,0,0,,9800,,,,,,18,18,,0
18,,10800,1000,0,0,,10800,,,,,,19,19,,0
19,,11800,1200,0,0,,11800,,,,,,20,20,,0
20,,13000,1200,0,0,,13000,,,,,,21,21,,0
21,,14200,1200,0,0,,14200,,,,,,22,22,,0
22,,15400,1200,0,0,,15400,,,,,,23,23,,0
23,,16600,1400,0,0,,16600,,,,,,24,24,,0
24,,18000,1400,0,0,,18000,,,,,,25,25,,0
25,,19400,1400,0,0,,19400,,,,,,26,26,,0
26,,20800,1400,0,0,,20800,,,,,,27,27,,0
27,,22200,2000,0,0,,22200,,,,,,28,28,,0
28,,24200,2000,0,0,,24200,,,,,,29,29,,0
29,,26200,,0,0,,26200,,,,,,30,30,,0
