featured,0,CRM,1,,,,,,,
currency,0,NORMAL,1,silvervc,ironvc,bronzevc,goldvc,platinumvc,diamondvc,
vip_pass,0,NORMAL,1,vip,,,,,,
ps4_map_packs,0,PSN,1,mappack2,mappack1,,,,,
xb1_map_packs,0,XBL,1,mappack2,mappack1,,,,,
online_ps4_map_packs,0,PSN-ONLINE,1,mappack2,mappack1,,,,,
online_xb1_map_packs,0,XBL-ONLINE,1,mappack2,mappack1,,,,,
announcers,0,NORMAL,1,announcer2,announcer4,announcer1,announcer3,,,
ps4_misc,0,PSN,1,code,,,,,,
xb1_misc,0,XBL,1,code,,,,,,
steam_misc,0,STEAM,1,code,,,,,,
uwp_misc,0,UWP,1,code,,,,,,
online_ps4_misc,0,PSN-ONLINE,1,code,,,,,,
online_xb1_misc,0,XBL-ONLINE,1,code,,,,,,
online_steam_misc,0,STEAM-ONLINE,1,code,,,,,,
online_uwp_misc,0,UWP-ONLINE,1,code,,,,,,
online_ps4_cwl,0,PSN-ONLINE,0,cwl,,,,,,
online_xb1_cwl,0,XBL-ONLINE,0,cwl,,,,,,
online_steam_cwl,0,STEAM-ONLINE,0,cwl,,,,,,
online_uwp_cwl,0,UWP-ONLINE,0,cwl,,,,,,
preorder_psn,0,PSN,1,s2deluxe,s2deluxeeu,s2deluxeasia2,s2,s2eu,s2asia1,
preorder_xbl,0,XBL,1,s2deluxe,s2,,,,,
preorder_steam,0,STEAM,1,s2,,,,,,
online_preorder_psn,0,PSN-ONLINE,1,s2deluxe,s2deluxeeu,s2deluxeasia2,s2,s2eu,s2asia1,
online_preorder_xbl,0,XBL-ONLINE,1,s2deluxe,s2,,,,,
online_preorder_steam,0,STEAM-ONLINE,1,s2,,,,,,
