45960,cer_ch_event_s1_community_mp_converter,0,0,,,,1732212000,1733421600,,,,0
45963,cer_ch_event_s1_community_wz_converter,0,0,,,,1732212000,1733421600,,,,0
45964,cer_ch_event_s1_community_zm_converter,0,0,,,,1732212000,1733421600,,,,0
45966,cer_ch_event_s1_community_global,0,0,8000000000|16000000000|24000000000|32000000000|50000000000,53983|89940|87831|80972|71271,,1732212000,1733421600,,,,0
46010,cer_ch_event_s1_community_player,0,0,100|250|500|750|1000,85211|73609|69173|91162|71684,,1732212000,1733421600,,,,0
48347,cer_ch_event_s1_traffic_plus,0,0,6000|14000|26000|46000|76000|118000|176000|254000|356000,89405|91811|91439|69200|91905|91961|90331|90385|85559,,1735927200,1738083600,,cer_ch_event_s1_traffic_purchase,,0
48345,cer_ch_event_s1_traffic,0,0,6000|14000|26000|46000|76000|118000|176000|254000|356000,85212|69174|84680|91939|86003|73611|84675|83236|71680,,1735927200,1738083600,,cer_ch_event_s1_traffic_default_rewards,,0
48349,cer_ch_event_s1_traffic_purchase,0,0,1,90898,,,,1100,,,0
48354,cer_ch_event_s1_traffic_tierskip,0,0,1,,,,,150,,,0
48372,cer_ch_event_s1_traffic_default_rewards,0,0,1,85765,,1735927200,1738083600,,,,0
48754,cer_ch_event_s1_fieldrep_holiday,0,0,9000|21200|39800|68000|109000|166000|242200|340800|465000|618000,69172|91468|88484|57678+84675|87535|55416+84680|88422|89044|84670|52285,0|0|0|0|0|0|0|0|0|89623,1733421600,1734631200,,,,0
50311,cer_ch_event_s1_community_gobblegum_mania_1_zm_converter,0,0,,,,,,,,,0
50312,cer_ch_event_s1_community_gobblegum_mania_1_global,0,0,10000000|25000000|50000000|75000000|150000000,85178|92269|83213|92268|91948,,1733421600,1734631200,,,,0
50313,cer_ch_event_s1_community_gobblegum_mania_1_player,0,0,5|10|15|30|50,56161|69126|68960|91290|87733,,1733421600,1734631200,,,,0
50999,cer_ch_event_s2_boba_plus,0,0,20000|50000|70000|100000|140000|180000|240000|300000|370000,92948|92082|94164|72212|88483|92276|94468|95062|90241,,1740679200,1742490000,,cer_ch_event_s2_boba_purchase,,0
51000,cer_ch_event_s2_boba,0,0,20000|50000|70000|100000|140000|180000|240000|300000|370000,94922|94924|89433|94928|94925|71208|94499|94909|89776,,1740679200,1742490000,,cer_ch_event_s2_boba_default_rewards,,0
51001,cer_ch_event_s2_boba_purchase,0,0,1,94770,,1740679200,1742490000,1100,,,0
51002,cer_ch_event_s2_boba_tierskip,0,0,1,,,1740679200,1742490000,150,,,0
51003,cer_ch_event_s2_boba_default_rewards,0,0,1,94498,,1740679200,1742490000,,,,0
51048,cer_ch_event_s2_fieldrep_clover,0,0,60|180|360|600|1100|1800,94921|95046|94914|93300|94461+84670|92396+95058,,1741885200,1743094800,,,,0
52009,cer_ch_event_s3_fieldrep_prem,0,0,15000|40000|76000|123000|180000|248000|326000|414000|511000|617000,96762|96411|96449+|96751|94186|95450|96427|84673+|93304|97478,0|0|0|0|0|0|0|0|0|,1744909200,1746115200,,,|97546|97487||96518||97019|97488|96910|95187,0
51130,cer_test_template_community_personal,0,0,100|250|500|750|1000,85211|73609|69173|91162|71684,,1732212000,1733421600,,,,0
