unlockToken,1,unlockToken,0,0
playercard,1,playercard,0,0
weapon,1,weapon,0,0
unlockToken,2,unlockToken,0,0
playercard,2,playercard,0,0
loadoutslot,2,loadoutslot,0,0
unlockToken,3,unlockToken,0,0
playercard,3,playercard,0,0
weapon,3,weapon,0,0
unlockToken,4,unlockToken,0,0
playercard,4,playercard,0,0
loadoutslot,4,loadoutslot,0,0
unlockToken,5,unlockToken,0,0
playercard,5,playercard,0,0
weapon,5,weapon,0,0
unlockToken,6,unlockToken,0,0
playercard,6,playercard,0,0
loadoutslot,6,loadoutslot,0,0
unlockToken,7,unlockToken,0,0
playercard,7,playercard,0,0
weapon,7,weapon,0,0
unlockToken,8,unlockToken,0,0
playercard,8,playercard,0,0
loadoutslot,8,loadoutslot,0,0
unlockToken,9,unlockToken,0,0
playercard,9,playercard,0,0
weapon,9,weapon,0,0
unlockToken,10,unlockToken,0,0
playercard,10,playercard,0,0
loadoutslot,10,loadoutslot,0,0
unlockToken,11,unlockToken,0,0
unlockToken,11,emblem,0,0
unlockToken,11,boost,0,0
unlockToken,12,unlockToken,0,0
unlockToken,12,emblem,0,0
unlockToken,12,boost,0,0
unlockToken,13,unlockToken,0,0
unlockToken,13,emblem,0,0
unlockToken,13,boost,0,0
unlockToken,14,unlockToken,0,0
unlockToken,14,emblem,0,0
unlockToken,14,boost,0,0
unlockToken,15,unlockToken,0,0
unlockToken,15,emblem,0,0
unlockToken,15,boost,0,0
unlockToken,16,unlockToken,0,0
unlockToken,16,emblem,0,0
unlockToken,16,boost,0,0
unlockToken,17,unlockToken,0,0
unlockToken,17,emblem,0,0
unlockToken,17,boost,0,0
unlockToken,18,unlockToken,0,0
unlockToken,18,emblem,0,0
unlockToken,18,boost,0,0
unlockToken,19,unlockToken,0,0
unlockToken,19,emblem,0,0
unlockToken,19,boost,0,0
unlockToken,20,unlockToken,0,0
unlockToken,20,emblem,0,0
unlockToken,20,boost,0,0
unlockToken,21,unlockToken,0,0
unlockToken,21,emblem,0,0
unlockToken,21,boost,0,0
unlockToken,22,unlockToken,0,0
unlockToken,22,emblem,0,0
unlockToken,22,boost,0,0
unlockToken,23,unlockToken,0,0
unlockToken,23,emblem,0,0
unlockToken,23,boost,0,0
unlockToken,24,unlockToken,0,0
unlockToken,24,emblem,0,0
unlockToken,24,boost,0,0
unlockToken,25,unlockToken,0,0
unlockToken,25,emblem,0,0
unlockToken,25,boost,0,0
unlockToken,26,unlockToken,0,0
unlockToken,26,emblem,0,0
unlockToken,26,boost,0,0
unlockToken,27,unlockToken,0,0
unlockToken,27,emblem,0,0
unlockToken,27,boost,0,0
unlockToken,28,unlockToken,0,0
unlockToken,28,emblem,0,0
unlockToken,28,boost,0,0
unlockToken,29,unlockToken,0,0
unlockToken,29,emblem,0,0
unlockToken,29,boost,0,0
unlockToken,30,unlockToken,0,0
unlockToken,30,emblem,0,0
unlockToken,30,boost,0,0
