ui_zm_current_trial_id,1,,g,i,-1,-1,50,,,,,,,,,,
ui_zm_current_trial_type,1,,g,i,-1,-1,4,,,,,,,,,,
ui_zm_current_trial_status,1,,c,i,0,0,3,,,,,,,,,,
ui_zm_current_trial_mastery_progress,1,,g,i,0,0,999,,,,,,,,,,
ui_zm_current_trial_mastery_progress_max,1,,g,i,0,0,999,,,,,,,,,,
ui_zm_current_trial_time,1,,g,i,0,0,999,,,,,,,,,,
ui_zm_current_trial_time_notify,1,,g,n,,,,,,,,,,,,,
ui_zm_current_trial_time_frozen,1,,g,b,0,0,1,,,,,,,,,,
ui_zm_trial_reward_level_scale,1,,g,i,1,1,10,,,,,,,,,,
ui_zm_current_trial_status_notify,1,,c,n,,,,,,,,,,,,,
ui_zm_current_trial_zone_index,1,,g,i,-1,-1,999,,,,,,,,,,
