42558,cer_sb_mp_prestige1_1,0,0,0,1|5|10,||64589,1000|2000|3000,Prestige,1,,,0,,1,,,MP|LP_MP|HC,0
42560,cer_sb_mp_prestige1_2,0,0,0,1,64590,3000,Prestige,2,,,0,,1,,,MP|LP_MP|HC,0
42561,cer_sb_mp_prestige1_3,0,0,0,5,64591,3000,Prestige,3,,,0,,1,,,MP|LP_MP|HC,0
42562,cer_sb_mp_prestige1_4,0,0,0,10,64592,3000,Prestige,4,,,0,,1,,,MP|LP_MP|HC,0
42563,cer_sb_mp_prestige1_5,0,0,0,1,64593,3000,Prestige,5,,,0,,1,,,MP|LP_MP|HC,0
42564,cer_sb_mp_prestige1_6,0,0,0,25,64594,3000,Prestige,6,,,0,,1,,,MP|LP_MP|HC,0
42566,cer_sb_mp_prestige1_mastery,0,0,0,6,64595,20000,Prestige,1,42558|42560|42561|42562|42563|42564,,0,,1,,,,0
42659,cer_sb_mp_prestige2_1,0,0,0,5|10|25,||64596,1000|2000|3000,Prestige,1,,,0,,2,,,MP|LP_MP|HC,0
42660,cer_sb_mp_prestige2_2,0,0,0,25|50|75,||64597,1000|2000|3000,Prestige,2,,,0,,2,,,MP|LP_MP|HC,0
42661,cer_sb_mp_prestige2_3,0,0,0,10|25|50,||64598,1000|2000|3000,Prestige,3,,,0,,2,,,MP|LP_MP|HC,0
42662,cer_sb_mp_prestige2_4,0,0,0,25|50|75,||64599,1000|2000|3000,Prestige,4,,,0,,2,,,MP|LP_MP|HC,0
42663,cer_sb_mp_prestige2_5,0,0,0,1,64600,3000,Prestige,5,,,0,,2,,,MP|LP_MP|HC,0
42664,cer_sb_mp_prestige2_6,0,0,0,10,64601,3000,Prestige,6,,,0,,2,,,MP|LP_MP|HC,0
42665,cer_sb_mp_prestige2_mastery,0,0,0,6,64602,20000,Prestige,2,42659|42660|42661|42662|42663|42664,,0,,2,,,,0
42666,cer_sb_mp_prestige3_1,0,0,0,10|25|50,||64603,1000|2000|3000,Prestige,1,,,0,,3,,,MP|LP_MP|HC,0
