11838,jup_daily_ch_p1_general_kills_low_health,0,0,5,2500,,1,,,,,1,,,0
11840,jup_daily_ch_p1_general_assists,0,0,10,2500,,1,,,,,2,,,0
14354,jup_daily_ch_p1_general_kills,0,0,35,2500,,1,,,,,3,,,0
14356,jup_daily_ch_p1_general_kills_crouched,0,0,6,2500,,1,,,,,4,,,0
14358,jup_daily_ch_p1_general_headshots,0,0,7,2500,,1,,,,,5,,,0
14361,jup_daily_ch_p1_general_kills_point_blank,0,0,6,2500,,1,,,,,6,,,0
14362,jup_daily_ch_p1_general_kills_kingslayer,0,0,6,2500,,1,,,,,7,,,0
14363,jup_daily_ch_p1_general_kills_secondary_weapon,0,0,5,2500,,1,,,,,8,,,0
14366,jup_daily_ch_p1_general_double_kills,0,0,5,2500,,1,,,,,9,,,0
14367,jup_daily_ch_p1_general_headshots_secondary_weapon,0,0,3,2500,,1,,,,,10,,,0
14386,jup_daily_ch_p1_general_kills_hipfire,0,0,5,2500,,1,,,,,11,,,0
14387,jup_daily_ch_p1_general_kills_1s1k,0,0,4,2500,,1,,,,,12,,,0
14388,jup_daily_ch_p1_general_kills_lethal,0,0,3,2500,,1,,,,,13,,,0
14389,jup_daily_ch_p1_general_kills_ads,0,0,25,2500,,1,,,,,14,,,0
12364,jup_daily_ch_p1_general_killstreak_3,0,0,4,2500,,1,,,,,15,,,0
11812,jup_daily_ch_p2_weapon_kills_ar,0,0,20,2500,,2,,,,,1,,,0
11813,jup_daily_ch_p2_weapon_kills_ar_hs,0,0,5,2500,,2,,,,,2,,,0
11814,jup_daily_ch_p2_weapon_kills_smg,0,0,20,2500,,2,,,,,3,,,0
11815,jup_daily_ch_p2_weapon_kills_smg_hs,0,0,5,2500,,2,,,,,4,,,0
11816,jup_daily_ch_p2_weapon_kills_sh,0,0,7,2500,,2,,,,,5,,,0
11817,jup_daily_ch_p2_weapon_kills_pistol,0,0,5,2500,,2,,,,,6,,,0
11818,jup_daily_ch_p2_weapon_kills_pistol_hs,0,0,2,2500,,2,,,,,7,,,0
11819,jup_daily_ch_p2_weapon_kills_sniper,0,0,7,2500,,2,,,,,8,,,0
11820,jup_daily_ch_p2_weapon_kills_sniper_hs,0,0,3,2500,,2,,,,,9,,,0
11823,jup_daily_ch_p2_weapon_kills_launcher,0,0,2,2500,,2,,,,,12,,,0
11824,jup_daily_ch_p2_weapon_kills_lm,0,0,10,2500,,2,,,,,13,,,0
11825,jup_daily_ch_p2_weapon_kills_lm_hs,0,0,3,2500,,2,,,,,14,,,0
11826,jup_daily_ch_p2_weapon_kills_dmr,0,0,7,2500,,2,,,,,15,,,0
11827,jup_daily_ch_p2_weapon_kills_dmr_hs,0,0,3,2500,,2,,,,,16,,,0
14516,jup_daily_ch_p3_lethals_kills_frag,0,0,2,2500,,3,,,,,4,,,0
14517,jup_daily_ch_p3_lethals_kills_semtex,0,0,2,2500,,3,,,,,5,,,0
11828,jup_daily_ch_p3_tacticals_blind_flash_grenade,0,0,2,2500,,3,,,,,7,,,0
14531,jup_daily_ch_p3_tacticals_butterfly_mine_hits,0,0,3,2500,,3,,,,,8,,,0
14533,jup_daily_ch_p3_lethals_kills_breacher_drone,0,0,2,2500,,3,,,,,9,,,0
26624,jup_daily_ch_p3_general_kills_prone,0,0,5,2500,,3,,,,,11,,,0
26625,jup_daily_ch_p3_general_kills_melee,0,0,5,2500,,3,,,,,12,,,0
26626,jup_daily_ch_p3_general_kills_tactical_stance,0,0,30,2500,,3,,,,,13,,,0
26627,jup_daily_ch_p3_general_kills_without_taking_damage,0,0,10,2500,,3,,,,,14,,,0
