include,omnvars/br/gametypes/omnvars_br.csv,,,,,,,,,,,,,,,,
ui_br_resurgence_respawn_type,1,,c,i,0,0,1,,,,,,,,,,
ui_br_resurgence_tracked_teams,1,,c,i,0,0,2147483647,,,,,,,,,,
ui_br_resurgence_will_disable,1,,c,b,0,0,1,,,,,,,,,,
ui_resurgence_care_request,1,,c,a,0,0,31,,,,,,,,,,
ui_resurgence_team_nemeses,1,,c,a,0,,,,,,,,,,,,
ui_br_squad_wipe_streak_count,1,,c,i,0,0,155,,,,,1,,,,,
ui_br_squad_wipe_streak_timer_end_ms,1,,c,t,0,,,,,,,1,,,,,
ui_resurgenceRespawnTimer,1,,c,a,0,0,2147483647,,,,,,,,,,
ui_resurgence_action_feedback,1,,c,a,0,0,,,,,,,,,,,
ui_elite_resurgence_timer,1,,c,a,0,,,,,,,1,,,,,
ui_silenced_weapon_loot_id,0,0,c,i,0,0,9999999,,,,,,,,,,
