0,_dummy_item_do_not_use,special,_dummy_item_do_not_use,200,0,0,icon_ping_default_arrow,3,0,50,,,,0
1,aiJugg,special,ai_jugg,200,0,0,ui_mp_br_loot_icon_truckwar_repair,1,0,50,,,,0
2,airdrop,killstreak,airdrop,330,0,0,cer_ui_image_equipment_br_care_package,4,0,50,30739,,,0
3,airdropMultiple,killstreak,airdrop_multiple,480,0,0,hud_icon_killstreak_emergency_airdrop,4,0,50,30739,,,0
4,aiSquad,special,ai_squad,200,0,0,ui_mp_br_loot_icon_truckwar_repair,1,0,50,,,,0
5,akilo47Comm,weapon,brloot_weapon_ar_akilo_comm,999,0,0,ui_loot_weapon_ar_akilo47,1,0,50,1047,,,0
6,alpha50Leg,weapon,brloot_weapon_sn_alpha50_lege,999,0,0,icon_weapon_sn_alpha50,1,0,50,419,,,0
7,ammoDepot,special,ammo_depot,200,0,0,ui_mp_br_loot_icon_truckwar_trophy,1,0,50,,,,0
8,ammoDrop,fieldupgrade,super_ammo_drop,200,0,0,hud_icon_fieldupgrade_ammo_box,1,0,50,30689,,,0
9,armor,special,armor,40,0,0,hud_icon_loot_armor_plate,1,0,50,8372,,,0
10,armor_plate_instant,special,armor_plate_instant,50,0,0,hud_icon_loot_armor_plate,1,0,50,8372,,,0
11,armorBundle,special,armor_bundle,200,0,0,hud_icon_loot_armor_plates_triple,1,0,50,8372,,,0
12,armorDrop,fieldupgrade,super_armor_drop,200,0,0,hud_icon_fieldupgrade_armor_box,1,0,50,80990,,,0
13,assaultDrone,killstreak,assault_drone,400,0,0,hud_icon_killstreak_drone_bomb,4,0,50,9153,,,0
14,augolfComm,weapon,brloot_weapon_ar_augolf_comm,999,0,0,icon_weapon_sm_augolf,1,0,50,1052,,,0
15,autoDrone,killstreak,auto_drone,330,0,0,hud_icon_killstreak_auto_drone,4,0,50,,,,0
16,charlie725Leg,weapon,brloot_weapon_sh_charlie725_lege,999,0,0,icon_weapon_sh_charlie725,1,0,50,1057,,,0
17,chopperGunner,killstreak,chopper_gunner,400,0,0,hud_icon_killstreak_chopper_gunner,4,0,50,,,,0
