4043,iw9_ch_daily_p1_general_kills,0,0,20,4500,,1,,,,,1,
2026,iw9_ch_daily_p1_general_longshot_kills,0,0,5,4500,,1,,,,,2,
1826,iw9_ch_daily_p1_general_wins,0,0,1,4500,,1,,,,,3,
3068,iw9_ch_daily_p1_general_kills_crouched,0,0,3,4500,,1,,,,,4,
2675,iw9_ch_daily_p1_general_headshots,0,0,5,4500,,1,,,,,5,
3951,iw9_ch_daily_p1_general_kills_mounted,0,0,3,4500,,1,,,,,7,
2754,iw9_ch_daily_p1_general_kills_point_blank,0,0,5,4500,,1,,,,,8,
1699,iw9_ch_daily_p1_general_kills_kingslayer,0,0,3,4500,,1,,,,,9,
925,iw9_ch_daily_p1_general_kills_secondary_weapon,0,0,3,4500,,1,,,,,10,
4008,iw9_ch_daily_p1_general_kills_recent_enemy,0,0,2,4500,,1,,,,,11,
3055,iw9_ch_daily_p1_general_shut_down_killstreaks,0,0,2,4500,,1,,,,,12,
131,iw9_ch_daily_p1_general_double_kills,0,0,2,4500,,1,,,,,13,
273,iw9_ch_daily_p1_general_kills_low_health,0,0,2,4500,,1,,,,,14,
73,iw9_ch_daily_p1_general_headshots_secondary_weapon,0,0,1,4500,,1,,,,,15,
815,iw9_ch_daily_p1_general_kills_hipfire,0,0,2,4500,,1,,,,,16,
1825,iw9_ch_daily_p1_general_kills_1s1k,0,0,1,4500,,1,,,,,17,
4040,iw9_ch_daily_p1_general_kills_lethal,0,0,1,4500,,1,,,,,18,
984,iw9_ch_daily_p1_general_kills_ads,0,0,15,4500,,1,,,,,19,
745,iw9_ch_daily_p2_weapon_kills_ar,0,0,15,4500,,2,,,,,1,
507,iw9_ch_daily_p2_weapon_kills_ar_hs,0,0,5,4500,,2,,,,,2,
369,iw9_ch_daily_p2_weapon_kills_smg,0,0,15,4500,,2,,,,,3,
2908,iw9_ch_daily_p2_weapon_kills_smg_hs,0,0,5,4500,,2,,,,,4,
318,iw9_ch_daily_p2_weapon_kills_sh,0,0,5,4500,,2,,,,,5,
2817,iw9_ch_daily_p2_weapon_kills_sh_hs,0,0,2,4500,,2,,,,,6,
2726,iw9_ch_daily_p2_weapon_kills_pistol,0,0,5,4500,,2,,,,,7,
