100000,ch_mastery_ar_akilo47_card_kill,0,CHALLENGE/MASTERY_CARD_KILL_DESC|CHALLENGE/WARZONE,500|2500,ui_playercard_001|ui_playercard_002,0
100001,ch_mastery_ar_asierra12_card_kill,0,CHALLENGE/MASTERY_CARD_KILL_DESC|CHALLENGE/ULTIMATE_CHALLENGE,500|2500,ui_playercard_001|ui_playercard_003,0
100002,ch_mastery_ar_falima_card_kill,0,CHALLENGE/S4_BP_QUEST_12_NAME|CHALLENGE/S4_BP_QUEST_13_NAME,500|2500,ui_playercard_001|ui_playercard_004,0
100003,ch_mastery_ar_falpha_card_kill,0,CHALLENGE/S4_BP_QUEST_13_NAME|CHALLENGE/S4_BP_QUEST_14_NAME,500|2500,ui_playercard_001|ui_playercard_005,0
100004,ch_mastery_ar_kilo433_card_kill,0,CHALLENGE/S4_BP_QUEST_15_NAME|CHALLENGE/S4_BP_QUEST_16_NAME,500|2500,ui_playercard_001|ui_playercard_006,0
100005,ch_mastery_ar_mcharlie_card_kill,0,CHALLENGE/S4_BP_QUEST_12_NAME|CHALLENGE/S4_BP_QUEST_13_NAME,500|2500,ui_playercard_001|ui_playercard_007,0
100006,ch_mastery_ar_mike4_card_kill,0,CHALLENGE/S4_BP_QUEST_13_NAME|CHALLENGE/S4_BP_QUEST_14_NAME,500|2500,ui_playercard_008,0
100007,ch_mastery_ar_scharlie_card_kill,0,CHALLENGE/S4_BP_QUEST_15_NAME|CHALLENGE/S4_BP_QUEST_16_NAME,500|2500,ui_playercard_0019,0
100008,ch_mastery_la_gromeo_card_kill,0,CHALLENGE/S4_BP_QUEST_12_NAME|CHALLENGE/S4_BP_QUEST_13_NAME,200|1000,ui_playercard_010,0
100009,ch_mastery_la_juliet_card_kill,0,CHALLENGE/S4_BP_QUEST_13_NAME|CHALLENGE/S4_BP_QUEST_14_NAME,200|1000,ui_playercard_001|ui_playercard_011,0
100010,ch_mastery_la_kgolf_card_kill,0,CHALLENGE/S4_BP_QUEST_15_NAME|CHALLENGE/S4_BP_QUEST_16_NAME,200|1000,ui_playercard_001|ui_playercard_012,0
100011,ch_mastery_la_rpapa7_card_kill,0,CHALLENGE/S4_BP_QUEST_12_NAME|CHALLENGE/S4_BP_QUEST_13_NAME,200|1000,ui_playercard_001|ui_playercard_013,0
100012,ch_mastery_lm_kilo121_card_kill,0,CHALLENGE/S4_BP_QUEST_13_NAME|CHALLENGE/S4_BP_QUEST_14_NAME,500|2500,ui_playercard_001|ui_playercard_014,0
100013,ch_mastery_lm_lima86_card_kill,0,CHALLENGE/S4_BP_QUEST_15_NAME|CHALLENGE/S4_BP_QUEST_16_NAME,500|2500,ui_playercard_001|ui_playercard_015,0
100014,ch_mastery_lm_mgolf34_card_kill,0,CHALLENGE/S4_BP_QUEST_12_NAME|CHALLENGE/S4_BP_QUEST_13_NAME,500|2500,ui_playercard_001|ui_playercard_016,0
100015,ch_mastery_lm_pkilo_card_kill,0,CHALLENGE/S4_BP_QUEST_13_NAME|CHALLENGE/S4_BP_QUEST_14_NAME,500|2500,ui_playercard_017,0
100016,ch_mastery_me_knife_card_kill,0,CHALLENGE/S4_BP_QUEST_15_NAME|CHALLENGE/S4_BP_QUEST_16_NAME,500|2500,ui_playercard_001|ui_playercard_018,0
100017,ch_mastery_me_riotshield_card_kill,0,CHALLENGE/S4_BP_QUEST_12_NAME|CHALLENGE/S4_BP_QUEST_13_NAME,500|2500,ui_playercard_001|ui_playercard_019,0
100018,ch_mastery_pi_cpapa_card_kill,0,CHALLENGE/S4_BP_QUEST_13_NAME|CHALLENGE/S4_BP_QUEST_14_NAME,500|2500,ui_playercard_001|ui_playercard_020,0
100019,ch_mastery_pi_decho_card_kill,0,CHALLENGE/S4_BP_QUEST_15_NAME|CHALLENGE/S4_BP_QUEST_16_NAME,500|2500,ui_playercard_001|ui_playercard_021,0
