war,PRESENCE/WAR,0,1,0
dom,PRESENCE/DOM,0,1,0
koth,PRESENCE/KOTH,0,1,0
sd,PRESENCE/SD,0,1,0
control,PRESENCE/CONTROL,0,1,0
hq,PRESENCE/HEADQUARTERS,0,1,0
conf,PRESENCE/CONF,0,1,0
dm,PRESENCE/DM,0,1,0
hvt,PRESENCE/HVT,0,1,0
infect,PRESENCE/INFECT,0,1,0
elim,PRESENCE/ELIM,0,1,0
gun,PRESENCE/GUN,0,1,0
sharp,PRESENCE/SHARP,0,1,0
dd,PRESENCE/DD,0,1,0
ctdm,PRESENCE/CTDM,0,1,0
arena,PRESENCE/ARENA,0,1,0
fo_war,PRESENCE/FO_WAR,0,1,0
fo_dom,PRESENCE/FO_DOM,0,1,0
fo_conf,PRESENCE/FO_CONF,0,1,0
fo_hvt,PRESENCE/FO_HVT,0,1,0
fo_ctdm,PRESENCE/FO_CTDM,0,1,0
war_10v10,PRESENCE/WAR_10V10,0,1,0
dom_10v10,PRESENCE/DOM_10V10,0,1,0
conf_10v10,PRESENCE/CONF_10V10,0,1,0
koth_10v10,PRESENCE/KOTH_10V10,0,1,0
hc_war_10v10,PRESENCE/HC_WAR_10V10,0,1,0
hc_dom_10v10,PRESENCE/HC_DOM_10V10,0,1,0
hc_conf_10v10,PRESENCE/HC_CONF_10V10,0,1,0
hc_koth_10v10,PRESENCE/HC_KOTH_10V10,0,1,0
guided,PRESENCE/ZM_GUIDED,0,4,0
zm_guided,PRESENCE/ZM_GUIDED,0,4,0
zm_rb,PRESENCE/ZM_RB,0,4,0
training_course,PRESENCE/TRAINING_COURSE,0,1,0
br_solos,PRESENCE/BR_SOLOS,0,2,0
br_duos,PRESENCE/BR_DUOS,0,2,0
br_trios,PRESENCE/BR_TRIOS,0,2,0
br_quads,PRESENCE/BR_QUADS,0,2,0
plunder,PRESENCE/PLUNDER,0,2,0
resurgence,PRESENCE/RESURGENCE,0,2,0
resur_solos,PRESENCE/RESUR_SOLOS,0,2,0
resur_duos,PRESENCE/RESUR_DUOS,0,2,0
resur_trios,PRESENCE/RESUR_TRIOS,0,2,0
resur_quads,PRESENCE/RESUR_QUADS,0,2,0
res_solos_escape,PRESENCE/RES_SOLOS_ESCAPE,0,2,0
res_duos_escape,PRESENCE/RES_DUOS_ESCAPE,0,2,0
res_trios_escape,PRESENCE/RES_TRIOS_ESCAPE,0,2,0
res_quads_escape,PRESENCE/RES_QUADS_ESCAPE,0,2,0
res_solos_a99,PRESENCE/RES_SOLOS_A99,0,2,0
res_duos_a99,PRESENCE/RES_DUOS_A99,0,2,0
res_trios_a99,PRESENCE/RES_TRIOS_A99,0,2,0
res_quads_a99,PRESENCE/RES_QUADS_A99,0,2,0
gold_rush,PRESENCE/GOLD,0,1,0
prop_hunt,PRESENCE/PROP,0,1,0
lp_control,PRESENCE/LP_CONTROL,0,1,0
lp_koth,PRESENCE/LP_KOTH,0,1,0
lp_sd,PRESENCE/LP_SD,0,1,0
hc_fo_war,PRESENCE/HC_FO_WAR,0,1,0
hc_war,PRESENCE/HC_WAR,0,1,0
hc_dom,PRESENCE/HC_DOM,0,1,0
hc_fo_dom,PRESENCE/HC_FO_DOM,0,1,0
hc_fo_dm,PRESENCE/HC_FO_DM,0,1,0
hc_dm,PRESENCE/HC_DM,0,1,0
hc_fo_conf,PRESENCE/HC_FO_CONF,0,1,0
hc_conf,PRESENCE/HC_CONF,0,1,0
hc_fo_hvt,PRESENCE/HC_FO_HVT,0,1,0
hc_hvt,PRESENCE/HC_HVT,0,1,0
hc_koth,PRESENCE/HC_KOTH,0,1,0
hc_sd,PRESENCE/HC_SD,0,1,0
zm_rb_jingle,PRESENCE/ZM_RB_JINGLE,0,4,0
zm_training_course,PRESENCE/ZM_TRAINING_COURSE,0,4,0
br_ranked,PRESENCE/BR_RANKED,0,2,0
br_sierra_solos,PRESENCE/BR_SIERRA_SOLOS,0,2,0
br_sierra_duos,PRESENCE/BR_SIERRA_DUOS,0,2,0
br_sierra_trios,PRESENCE/BR_SIERRA_TRIOS,0,2,0
br_sierra_quads,PRESENCE/BR_SIERRA_QUADS,0,2,0
br_sierra_quads_bots,PRESENCE/BR_SIERRA_QUADS_BOTS,0,2,0
battleroyale_ftue,PRESENCE/BATTLEROYALE_FTUE,0,2,0
