slot_0_reserved,0
tag_light_front_left,1
tag_light_front_right,2
tag_light_back_left,3
tag_light_back_right,4
tag_light_front,5
tag_light_back,6
tag_light_interior,7
tag_light_parking,8
tag_light_parking_extra1,8
tag_light_parking_extra2,8
tag_light_parking_extra3,8
tag_light_reverse_extra4,9
tag_light_front_bottom_left,10
tag_light_front_bottom_right,11
tag_light_back_middle,12
tag_light_front_top_left,13
tag_light_front_top_right,14
tag_light_front_top_middle,15
tag_light_dash,16
tag_light_extra1,17
tag_light_extra2,18
tag_light_extra3,19
tag_light_extra4,20
tag_light_plate_front,21
tag_light_plate_rear,22
tag_light_back_left_d0,28
tag_light_back_right_d0,29
tag_light_front_left_d0,30
tag_light_front_right_d0,31
