include,omnvars/mp/omnvars_scorestreaks_br.csv,,,,,,,,,,,,,0,,,
include,omnvars/mp/omnvars_hardpoint.csv,,,,,,,,,,,,,0,,,
include,omnvars/mp/omnvars_grindtags.csv,,,,,,,,,,,,,0,,,
include,omnvars/mp/omnvars_loot_container.csv,,,,,,,,,,,,,0,,,
include,omnvars/cp_mp/omnvars_uav_tower.csv,,,,,,,,,,,,,0,,,
include,omnvars/br/omnvars_sierra_sidequest.csv,,,,,,,,,,,,,0,,feature_wz_sierra_ee,
ui_br_end_game_splash_type,1,,c,i,-1,-1,20,,,,,,,0,,,
ui_br_sv_extract_successful,1,,c,i,0,0,2,,,,,,,0,,,
ui_br_altimeter_horizontal_speed,1,,c,i,0,0,999,,,,,,,0,,,
ui_br_altimeter_vertical_speed,1,,c,i,0,0,999,,,,,,,0,,,
ui_br_altimeter_height,1,,c,f,0,0,1,,,,,,,0,,,
ui_br_altimeter_state,1,,c,i,0,0,2,,,,,,,0,,,
ui_br_smallarms_ammo,1,,c,i,0,0,999,,,,,,,0,,,
ui_br_shotgun_ammo,1,,c,i,0,0,999,,,,,,,0,,,
ui_br_assault_ammo,1,,c,i,0,0,2000,,,,,,,0,,,
ui_br_sniper_ammo,1,,c,i,0,0,999,,,,,,,0,,,
ui_br_rocket_ammo,1,,c,i,0,0,999,,,,,,,0,,,
ui_br_players_left_in_plane,1,,g,i,0,0,250,,,,,,,0,,,
ui_br_active_spectators,1,,c,i,0,0,250,,,,,1,,0,,,
ui_br_c130_path_start_x,1,,g,i,0,-327670,327670,,,,,,,0,,,
ui_br_c130_path_start_y,1,,g,i,0,-327670,327670,,,,,,,0,,,
ui_br_c130_path_end_x,1,,g,i,0,-327670,327670,,,,,,,0,,,
ui_br_c130_path_end_y,1,,g,i,0,-327670,327670,,,,,,,0,,,
ui_gulag_timer,1,,g,t,0,,,,,,,,,0,,,
ui_gulag_state,1,,g,i,0,0,1,,,,,,,0,,,
ui_gulag,1,,c,b,0,0,1,,,,,1,,0,,,
ui_br_gulag_players_1,1,,c,a,0,,,,,,,1,,0,,,
ui_br_gulag_queue_position,1,,c,i,0,0,64,,,,,1,,0,,,
ui_br_gulag_data,1,,c,i,0,0,16777215,,,,,1,,0,,,
ui_br_gulag_data_2,1,,c,i,0,0,16777215,,,,,1,,0,,,
ui_br_gulag_match_state,1,,c,i,0,0,7,,,,,1,,0,,,
ui_br_gulag_match_end_time,1,,c,t,0,,,,,,,1,,0,,,
ui_overtime_timer,1,,c,f,0,0,1,,,,,1,,0,,,
ui_overtime_timer_show,1,,c,b,0,0,1,,,,,1,,0,,,
ui_publicevent_timer,1,,g,f,0,0,1,,,,,,,0,,,
ui_publicevent_timer_type,1,,g,i,0,0,18,,,,,,,0,,,
ui_publicevent_auavscan_spotted,1,,c,i,0,-1,1,,,,,,,0,,,
ui_publicevent_fullscreen_atlas_type,1,,c,i,0,0,2,,,,,,,0,,,
ui_publicevent_heavyarmor_active,1,,g,i,0,0,1,,,,,,,0,,,
ui_publicevent_dataheist_state,1,,c,i,0,0,3,,,,,,,0,,,
ui_publicevent_dataheist_progress,1,,c,f,0,0,1,,,,,,,0,,,
ui_br_objective_index,1,,c,i,0,0,250,,,,,1,,0,,,
ui_br_objective_reward_tier,1,,c,i,0,0,250,,,,,1,,0,,,
ui_br_objective_param,1,,c,i,0,0,99999,,,,,1,,0,,,
ui_br_objective_extraParam,1,,c,i,0,0,99999,,,,,1,,0,,,
ui_br_objective_countdown_timer,1,,c,t,0,,,1,,,,1,,0,,,
ui_br_objective_duration_time,1,,c,t,0,,,1,,,,1,,0,,,
ui_br_objective_loot_id,1,,c,i,-1,-1,10000000,,,,,1,,0,,,
ui_br_objective_is_legendary,1,,c,b,0,0,1,,,,,,,0,,,
ui_br_assassination_target,1,,c,i,0,0,2047,,,,,1,,0,,,
ui_br_assassination_target_timer,1,,c,t,0,,,1,,,,1,,0,,,
ui_br_bink_overlay_state,1,,c,i,0,0,15,,,,,0,,0,,,
ui_br_expanded_obit_message,1,,c,a,0,0,4294967295,,,,,,,0,,,
ui_gasmask_damage,1,1,c,f,1,0,1,,,,,,,0,,,
ui_head_equip_class,1,1,c,i,0,0,6,,,,,,,0,,,
ui_helmet_protection_state,1,1,c,b,0,0,1,,,,,,,0,,,
ui_br_transition_type,1,,c,i,0,0,6,,,,,,,0,,,
ui_br_display_perk_info,1,,c,i,0,0,1,,,,,1,,0,,,
ui_hide_nameplate_strings,0,,c,b,0,0,1,,,,,,,0,,,
ui_hide_redeploy_timer,0,,g,i,0,0,1,,,,,,,0,,,
ui_nuke_countdown_active,1,,g,i,0,-1,1,,,,,,,0,,,
ui_nuke_timer_type,1,,g,i,0,0,3,,,,,,,0,,,
ui_nuke_timer_time,1,,g,i,30,0,255,,,,,,,0,,,
ui_nuke_player_id,1,,g,i,-1,-1,200,,,,,,,0,,,
ui_br_objective_types,1,,g,a,0,,,,,,,,,0,,,
ui_br_squad_leader_can_pass,1,,c,b,0,0,1,,,,,1,,0,,,
ui_br_ftue_popup,1,,g,i,0,0,3,,,,,,,0,,,
ui_br_eliminated,1,,c,i,0,0,64,,,,,1,,0,,,
ui_br_extracted,1,,c,i,0,0,15,,,,,1,,0,,,
ui_br_squad_revive_status,1,,c,a,0,,,,,,,1,,0,,,
ui_gulag_show_closing_state,1,,g,i,0,0,3,,,,,,,0,,,
ui_br_extended_load_screen,1,,c,i,0,0,1,,,,,,,0,,,
ui_br_match_stats,1,,g,i,0,0,16777215,,,,,,,0,,,
ui_br_danger_warning,1,,c,i,0,0,15,,,,,,,0,,,
ui_br_ai_gulag_score,1,,c,i,-1,-1,100,,,,,,,0,,,
ui_br_events,1,,c,i,0,0,15,,,,,1,,0,,,
ui_br_last_droppable_weapon,1,,c,i,-1,-1,2147483646,,,,,,,0,,,
ui_br_has_extract_bag,1,,c,b,0,0,1,,,,,1,,0,,,
ui_br_attraction_data,1,,c,i,0,0,67108863,,,,,1,,0,,,
ui_br_attraction_best_data,1,,c,i,0,0,255,,,,,1,,0,,,
ui_br_attraction_best_time,1,,c,a,0,,,,,,,1,,0,,,
br_archived_flags,1,1,c,i,0,0,1,,,,,,,0,,,
ui_tablet_code,1,,c,a,0,0,,,,,,,,0,,,
ui_tablet_usb,1,,c,i,0,0,16,,,,,,,0,,,
ui_assimilation_clientnum,1,,c,i,-1,-1,199,,,,,,,0,,,
ui_assimilation_join_on_target,1,,c,b,0,0,1,,,,,,,0,,,
ui_playerdata_weapon_ammo,1,,c,i,0,0,1023,,,,,,,0,,,
ui_poi_star_rating,1,,c,i,-1,-1,8,,,,,,,0,,,
ui_match_start_countdown_not_reach_minplayer,1,,g,i,0,0,65535,,,,,,,0,,,
ui_br_loot_index_picked_up,1,,c,i,-1,-1,500,,,,,,,0,,,
ui_br_kiosk_hide_discount,1,,c,b,0,0,1,,,,,,,0,,,
ui_dmz_radiation_spreading,1,,g,i,0,0,1,,,,,,,0,,,
ui_dmz_poi_name,1,,c,i,0,0,64,,,,,,,0,,,
ui_dmz_activity_starter_poi_name,1,,c,i,0,0,40,,,,,,,0,,,
ui_br_hacker_phone_state,1,,c,i,0,0,3,,,,,,,0,,,
ui_br_hacked_phones_data1,1,,c,a,0,,,,,,,,,0,,,
ui_br_hacked_phones_data2,1,,c,a,0,,,,,,,,,0,,,
ui_br_hacker_phone_remaining_payments,1,,c,i,0,0,63,,,,,,,0,,,
ui_br_hacker_phone_potential_cash_value,1,,c,i,0,0,99999,,,,,,,0,,,
ui_dmz_activity_starter_activity_type,1,,c,i,0,0,20,,,,,,,0,,,
ui_br_stronghold_mission,1,,c,i,0,0,2048,,,,,,,0,,,
ui_br_stronghold_mission_timer,1,,c,i,0,0,67108863,,,,,,,0,,,
ui_br_stronghold_mission_progress,1,,c,i,0,0,255,,,,,,,0,,,
ui_br_stronghold_has_blacksite_key,1,,c,b,0,0,1,,,,,1,,0,,,
ui_br_stronghold_mission_loadout_crate,1,,c,i,0,0,255,,,,,,,0,,,
ui_br_stronghold_mission_status,1,,c,i,0,0,3,,,,,,,0,,,
