27223,jup_br_easteregg_bunnykill,0,0,10,2000,44397,,,,,,,,,,0
27227,jup_br_easteregg_droneassemble,0,0,1,2000,39718,,,,,,,,,,0
29379,jup_br_easteregg_kill_on_zipline,0,0,1,2500,49270,,,,,,,,,,0
28402,jup_br_s2_map_quest_mastery,0,0,7,5000,51067,,,,28403|28414|28413|28415|28412|28411|28410,2,,,,,0
28403,jup_br_s2_map_quest_dragon,0,0,1,2000,48116,,,,,2,,,,,0
28414,jup_br_s2_map_quest_vault,0,0,1,2000,52833,,,,,2,,,,,0
28413,jup_br_s2_map_quest_sdbox,0,0,1,1500,51857,,,,,2,,,,,0
28415,jup_br_s2_map_quest_hallway,0,0,1,1000,51811,,,,,2,,,,,0
28412,jup_br_s2_map_quest_locked_room,0,0,1,1000,52515,,,,,2,,,,,0
28411,jup_br_s2_map_quest_cursed,0,0,1,1500,,,,,,2,,,,,0
28410,jup_br_s2_map_quest_race,0,0,1,1000,,,,,,2,,,,,0
29296,jup_br_s2_squad_wipe_streak_1,0,0,1,750,51808,,,,,2,,,,,0
29614,jup_br_s2_squad_wipe_streak_3,0,0,1,1500,51809,,,,,2,,,,,0
29615,jup_br_s2_squad_wipe_streak_5,0,0,1,2250,51810,,,,,2,,,,,0
29617,jup_br_s2_squad_wipes_25,0,0,25,2000,51665,,,,,2,,,,,0
35523,jup_br_s3_culture_win,0,0,1,,56439,,,,,3,,,,,0
29388,jup_br_s3_resurgence_mastery,0,0,3,,56387,,,,29389|29714|29715,3,,,,,0
29389,jup_br_s3_resurgence_win,0,0,1|10,,55546|55547,,,,,3,,,,,0
29714,jup_br_s3_resurgence_avenge_squad,0,0,25,,57071,,,,,3,,,,,0
29715,jup_br_s3_resurgence_headshots,0,0,100,,58349,,,,,3,,,,,0
29718,jup_br_s3_rebirth_mastery,0,0,6,,58459,,,,29719|29720|29766|29767|29768|29769,3,,,,,0
29719,jup_br_s3_rebirth_contracts,0,0,50,,58183,,,,,3,,,,,0
29720,jup_br_s3_rebirth_loot,0,0,250,,58324,,,,,3,,,,,0
29766,jup_br_s3_rebirth_squad_landings,0,0,25,,57075,,,,,3,,,,,0
29767,jup_br_s3_rebirth_squad_rage,0,0,100,,53994,,,,,3,,,,,0
29768,jup_br_s3_rebirth_drive_once,0,0,25,,56385,,,,,3,,,,,0
29769,jup_br_s3_rebirth_three_uav_towers,0,0,1,,58480,,,,,3,,,,,0
34507,jup_br_s3_biometric_scan,0,0,3|7|12|17|21|27,,55549|3955|3951|57072|58325|56437,,,,,3,,,,,0
36241,jup_br_s3_culture_play,0,0,1,,58350,,,,,3,,,,,0
36242,jup_br_s3_resurgence_loaded_play,0,0,1,,53992,,,,,3,,,,,0
36265,jup_br_s3_escape_ee_armory,0,0,1,,51650,,,,,3,,,,,0
36240,jup_br_s3_resurgence_loaded_win,0,0,1,,58301,,,,,3,,,,,0
37754,jup_br_s3_cerberus_reveal,0,0,6,,58090,,,,,3,,,,,0
27474,jup_ob_rift_run_three_contracts_blueprint,0,0,1,,32814,,,,,,,,,,0
38849,jup_ob_rift_run_s3_complete_blueprint,0,0,1,,55594,,,,,3,,,,,0
14845,iw9_ch_secret_s4_delta_win,0,0,1,0,15282,,,,,4000,0,0,,,0
14846,iw9_ch_secret_s4_delta_play_100,0,0,50,0,30299,,,,,4000,0,0,,,0
14847,iw9_ch_secret_s4_delta_play_500,0,0,200,0,30309,,,,,4000,0,0,,,0
14848,iw9_ch_secret_s4_delta_win_lock_1,0,0,1,0,30297,,,,,4000,0,0,,,0
14849,iw9_ch_secret_s4_delta_win_lock_25,0,0,25,0,30306,,,,,4000,0,0,,,0
14850,iw9_ch_secret_s4_delta_win_br,0,0,1,0,30296,,,,,4000,0,0,,,0
14851,iw9_ch_secret_s4_delta_win_br_25,0,0,25,0,30307,,,,,4000,0,0,,,0
14852,iw9_ch_secret_s4_delta_underwater,0,0,1,0,8849,,,,,4000,0,0,,,0
14853,iw9_ch_secret_s4_delta_finisher,0,0,1,0,5050,,,,,4000,0,0,,,0
15025,iw9_ch_secret_s4_delta_melee_25,0,0,25,0,30404,,,,,4000,0,0,,,0
15120,iw9_ch_secret_s4_body_scan_ee,0,0,1,0,30479,,,,,4000,0,0,,,0
