26849,264,playerprogression,xp,rank,prestige,,,,0
26850,264,prestigeprogression,xp,rank,prestige,,,,0
26848,264,prestigeprogression,xp,rank,prestige,,,,1
26851,264,prestigeprogression,xp,rank,prestige,,,,2
26852,264,prestigeprogression,xp,rank,prestige,,,,3
26853,264,prestigeprogression,xp,rank,prestige,,,,4
26854,264,prestigeprogression,xp,rank,prestige,,,,5
26855,264,prestigeprogression,xp,rank,prestige,,,,6
26856,264,prestigeprogression,xp,rank,prestige,,,,7
26857,264,prestigeprogression,xp,rank,prestige,,,,8
26858,264,prestigeprogression,xp,rank,prestige,,,,9
26877,264,prestigeprogression,xp,rank,prestige,,,,10
26931,264,masterprestige,xp,rank,prestige,,,,
