none,1,,,,,,,,0
default,2,plunder_small,xp_small,reward_tier,,,,,0
domination,3,plunder_small,xp_medium,reward_tier,,,,,0
assassin,4,plunder_medium,xp_extra_large,ping,reward_tier,,,,0
assassin_target_killed,5,plunder_medium,xp_extra_large,ping,reward_tier,,,,0
assassin_target_vanished,6,plunder_small,xp_medium,,,,,,0
assassin_averted,7,plunder_small,xp_medium,,,,,,0
master_assassin,8,plunder_huge,xp_extra_large,uav_directional,reward_tier,,,,0
master_assassin_target_killed,9,plunder_huge,xp_extra_large,uav_directional,reward_tier,,,,0
master_assassin_target_vanished,10,plunder_small,xp_medium,,,,,,0
master_assassin_averted,11,plunder_small,xp_medium,,,,,,0
scavenger_1,28,,,,,,,,0
scavenger_2,29,,,,,,,,0
scavenger_3,30,plunder_medium,xp_medium,loot_carrier_armor,reward_tier,,,,0
vip,31,plunder_extra_large,xp_huge,team_revive,reward_tier,,,,0
vip_killer,32,plunder_small,xp_medium,,,,,,0
timed_run,33,plunder_medium,xp_medium,reward_tier,fire_sale,,,,0
blueprintextract,34,plunder_extra_huge,xp_large,reward_tier,,,,,0
secretstash,35,plunder_medium,xp_medium,reward_tier,,,,,0
safecracker_1,36,,,,,,,,0
safecracker_2,37,,,,,,,,0
safecracker_3,38,plunder_medium,xp_medium,,,,,,0
demolition,39,plunder_medium,xp_medium,reward_tier,,,,,0
intel,40,plunder_extra_large,xp_large,circle_peek,reward_tier,,,,0
spy_drones,43,plunder_large,xp_large,reward_tier,,,,,0
spy_drones_poached,44,plunder_small,xp_small,,,,,,0
bounty_royale_cancel_compensation,45,plunder_small,xp_medium,,,,,,0
hacker_phone,46,plunder_none,xp_medium,reward_tier,,,,,0
recon,47,plunder_medium,xp_large,circle_peek,reward_tier,,,,0
