specialty_bulletaccuracy,1,0
specialty_fastreload,1,1
specialty_fastreload_empty,1,2
specialty_explosivearmor,1,3
specialty_holdbreath,1,4
specialty_longersprint,1,5
specialty_detectexplosive,1,6
specialty_extraoffhandammo,1,7
specialty_extraammo,0,
specialty_twoprimaries,1,8
specialty_armorvest,1,9
specialty_no_target,1,10
specialty_specialgrenade,0,
specialty_snapshot_immunity,1,11
specialty_extendedmags,1,12
specialty_lightweight,1,13
specialty_marathon,1,14
specialty_quickdraw,1,15
specialty_improvedholdbreath,1,16
specialty_fastsprintrecovery,1,17
specialty_extendedmelee,1,18
specialty_fastoffhand,1,19
specialty_stalker,1,20
specialty_holdbreathwhileads,1,21
specialty_longerrange,1,22
specialty_fastermelee,1,23
specialty_reducedsway,1,24
specialty_gpsjammer,1,25
specialty_bulletpenetration,1,26
specialty_radarringresist,1,27
specialty_pistoldeath,1,28
specialty_quieter,1,29
specialty_parabolic,1,30
specialty_bulletdamage,1,31
specialty_explosivebullets,1,32
specialty_scavenger,1,33
specialty_coldblooded,1,34
specialty_blindeye,1,35
specialty_noplayertarget,1,36
specialty_heartbreaker,1,37
specialty_selectivehearing,1,38
specialty_fastsnipe,1,39
specialty_spygame,1,40
specialty_quickswap,1,41
specialty_empimmune,1,42
specialty_throwback,1,43
specialty_radarblip,1,44
specialty_radarjuggernaut,1,45
specialty_silentkill,1,46
specialty_noscopeoutline,1,47
specialty_fastslide,1,48
specialty_overcharge,1,49
specialty_improvedgunkick,1,50
specialty_sprintfire,1,51
specialty_sprintmelee,1,52
specialty_tracker_pro,1,53
specialty_tracker_pro_short,1,54
specialty_tracker_jammer,1,55
specialty_expanded_minimap,1,56
specialty_silentdoublejump,0,
specialty_silentdoublejump_audio,0,
specialty_sprintreload,1,57
specialty_autoaimhead,1,58
specialty_marksman,1,59
specialty_melee_resist,1,60
specialty_melee_invulnerable,1,61
specialty_bounty,1,62
specialty_sprintads,0,
specialty_view_bob_increase,0,
specialty_supersprint_enhanced,1,63
specialty_fastcrouchmovement,1,64
specialty_pistoldraw,1,65
specialty_slayer,1,66
specialty_operative,1,67
specialty_tactician,1,68
specialty_dexterity,1,69
specialty_missileprediction,1,70
specialty_snakecam,1,71
specialty_sprintoffhand,1,72
specialty_supersprintreload,1,73
specialty_scavenger_equipment,1,74
specialty_gungho,1,75
specialty_criticalaim,1,76
specialty_fast_rechamber,1,77
specialty_quietswim,0,
specialty_acousticsensor,0,
specialty_longslide,0,
specialty_fasttransition,0,
specialty_fastladderclimb,0,
specialty_throwback_extrafusetime,1,78
specialty_ammodrainsfromstockfirst,1,79
specialty_enemyradar,1,80
specialty_sliding_ads,1,81
specialty_spykitimmune,1,82
specialty_mantle_scale,1,83
specialty_fall_damage_scale,1,84
specialty_jump_aim_scale,1,85
specialty_strafe_and_ads_move_speed,1,86
specialty_death_perception,1,87
specialty_engineer_minimap,1,88
specialty_ascender_scale,1,89
specialty_fall_reduction,1,90
specialty_freefire,1,91
specialty_forwardintel,1,92
specialty_super_speed,1,93
specialty_self_tracked,1,94
specialty_ads_bob_scale,1,95
specialty_fastsprintout,1,96
specialty_allterrain,1,97
specialty_infinitestamina,0,
specialty_combat_medic,1,98
specialty_ping_enemy_after_kill,1,99
specialty_melee_without_swap,1,100
specialty_zombies_fastreload,1,101 
specialty_zombies_fastreload_augment,1,102
specialty_show_hidden_nameplate_to_allies,1,103
specialty_fast_rechamber_augment,1,104
specialty_skill_fastreload_uncommon,1,105
specialty_skill_fastreload_rare,1,106
specialty_skill_fastreload_epic,1,107
specialty_skill_fastreload_legendary,1,108
specialty_skill_fastreload_ultra,1,109
specialty_skill_rallyup_reload_uncommon,1,110
specialty_skill_rallyup_reload_rare,1,111
specialty_skill_rallyup_reload_epic,1,112
specialty_skill_rallyup_reload_legendary,1,113
specialty_skill_rallyup_reload_ultra,1,114
specialty_melee_infinite_tac_sprint,1,115
specialty_resolute,1,116
specialty_supersprint_encumbered,0,
specialty_dexterity_base,1,117
