0,reflex,reflex,0,reticle_reflex_default,1,,mp_reticle_scope_4x,
1,reflex2,reflex,0,reticle_reflex_default2,1,,mp_reticle_scope_4x,
2,reflex3,reflex,0,reticle_reflex_default3,1,,mp_reticle_scope_4x,
3,reflex4,reflex,0,reticle_reflex_default,1,,mp_reticle_scope_4x,
4,reflexmini,reflex,0,reticle_reflex_default,1,,mp_reticle_scope_4x,
5,reflexmini2,reflex,0,reticle_reflex_default,1,,mp_reticle_scope_4x,
6,reflexmini3,reflex,0,reticle_reflex_default,1,,mp_reticle_scope_4x,
7,holo,holo,0,reticle_holo_default,2,,mp_reticle_scope_4x,
8,holo2,holo,0,reticle_holo_default2,2,,mp_reticle_scope_4x,
9,holo3,holo,0,reticle_holo_default,2,,mp_reticle_scope_4x,
10,acog,acog,0,reticle_acog_default,3,,mp_reticle_scope_4x,
11,acog2,acog,0,reticle_acog_default2,3,,mp_reticle_scope_4x,
12,acog3,acog,0,reticle_acog_default,3,,mp_reticle_scope_4x,
13,hybrid,hybrid,0,reticle_hybrid_default,4,reticle_holo_default,mp_reticle_scope_4x,mp_reticle_scope_4x
14,hybrid2,hybrid,0,reticle_acog_default,4,reticle_reflex_default,mp_reticle_scope_4x,mp_reticle_scope_4x
15,hybrid4,hybrid,0,reticle_acog_default,4,reticle_reflex_default,mp_reticle_scope_4x,mp_reticle_scope_4x
16,thermal,thermal,0,reticle_thermal_default,5,,mp_reticle_scope_4x,
17,thermal2,thermal,0,reticle_thermal_default2,5,,mp_reticle_scope_4x,
18,thermalvz,thermal,0,reticle_thermal_default3,5,,mp_reticle_scope_4x,
19,vzscope,scope,0,reticle_vzscope_default,6,,mp_reticle_scope_4x,
20,scope,scope,0,reticle_vzscope_default,6,,mp_reticle_scope_4x,
21,hybrid3,hybridthermal,0,reticle_thermal_default2,7,reticle_reflex_default,mp_reticle_scope_4x,mp_reticle_scope_4x
22,default_sniper_scope,scope,0,reticle_vzscope_default,6,,mp_reticle_scope_4x,
23,hdrscope,scope,0,reticle_hdr_default,6,,mp_reticle_scope_4x,
24,k98scope,scope,0,reticle_k98_default,6,,mp_reticle_scope_4x,
25,crossscope,scope,0,snp_reticle_01,6,,mp_reticle_scope_4x,
25,intscope,scope,0,reticle_int_default,6,,mp_reticle_scope_4x,
26,sbetascope,scope,0,snp_reticle_03,6,,mp_reticle_scope_4x,
27,reflex26yc,reflex,0,reticle_14_hybrid,1,,mp_reticle_scope_4x,
28,acog26cross,acog,0,reticle_acog_default3,3,,mp_reticle_scope_4x,
29,sksierra,scope,0,reticle_sierra_default,6,,mp_reticle_scope_4x,
30,thermalanov,thermal,0,reticle_anovember94_default,5,,mp_reticle_scope_4x,
