0,23466,jup_rank_00,,31353|31350|27453|27255|27330|27334|27380|27383|45945|45968|45967|45961|27396|27087|27263|17203|32081|17208|17211|17777|17210|17184|17205|30013|30038|29998|27291|17736|29984|29999|17235|29987|30000|17241|29982|29985|29838|30435|30001|27311|34964|17782|2742,
1,23467,jup_rank_01,,31351,
2,23468,jup_rank_02,,32478,
3,23469,jup_rank_03,,31352|11344|33538|25653,
4,23470,jup_rank_04,,27359|3962|45955,
5,23471,jup_rank_05,,27449|45949,(21:5)
6,23472,jup_rank_06,,17209,
7,23473,jup_rank_07,,27250,
8,23474,jup_rank_08,,27454|27361|45953,(21:5)
9,23475,jup_rank_09,,33542|27367|8429,
10,23476,jup_rank_10,,33537|45944,(21:5)
11,23477,jup_rank_11,,17193,
12,23478,jup_rank_12,,27294,
13,23479,jup_rank_13,,27335|45960,
14,23480,jup_rank_14,,27373|3948,
15,23481,jup_rank_15,,27264|45948,(21:5)
16,23482,jup_rank_16,,17189,
17,23483,jup_rank_17,,27308|45964,(21:5)
18,23484,jup_rank_18,,33020|27395|45942,(21:5)
19,23485,jup_rank_19,,33543|8599|48002,
20,23486,jup_rank_20,,17187,
21,23487,jup_rank_21,,27410|45963,
22,23488,jup_rank_22,,27504|45962,(21:5)
23,23489,jup_rank_23,,27386,(21:5)
24,23490,jup_rank_24,,33863,(21:5)
25,23491,jup_rank_25,,27362|3942|45940,
26,23492,jup_rank_26,,17194,
27,23493,jup_rank_27,,27440|45958,(21:5)
28,23494,jup_rank_28,,27381|27452|45954,(21:5)
29,23495,jup_rank_29,,27259|33539,
30,23496,jup_rank_30,,46989,
31,23497,jup_rank_31,,27328|45943,
32,23498,jup_rank_32,,27261,
33,23499,jup_rank_33,,33749|8355|45959,
34,23500,jup_rank_34,,27356,
35,23501,jup_rank_35,,27377,(21:5)
36,23502,jup_rank_36,,17181,
37,23503,jup_rank_37,,21637|45965,
38,23504,jup_rank_38,,27450|17216|46002,(21:5)
39,23505,jup_rank_39,,31564,
40,23506,jup_rank_40,,27338|27429|45939,
41,23507,jup_rank_41,,27269,
42,23508,jup_rank_42,,27368|8594,
43,23509,jup_rank_43,,17182,
44,23510,jup_rank_44,,27394|27419|45941,
45,23511,jup_rank_45,,27331,
46,23512,jup_rank_46,,27393|45938,(21:5)
47,23513,jup_rank_47,,11337,
48,23514,jup_rank_48,,27337|45956,
49,23515,jup_rank_49,,17197|33541|27455,
50,23516,jup_rank_50,,27435|45950,
51,23517,jup_rank_51,,9212|45957,(21:5)
52,23518,jup_rank_52,,27313,(21:5)
53,23519,jup_rank_53,,31566|3951|45947,
54,23520,jup_rank_54,21786|17838|17839|17840|17841|17842|17843|17845|17847|17849|17850|18653|18655|18657|18659|18661|18686|18688|18690|18692|18693|18699|18701|18703|18705|18707|18709|26941,27441|17183,
55,23521,jup_rank_55,14763|14764|14776|15742|14835|21391|21394|21395|21396|21398,44481,
56,28505,jup_rank_56,,,
57,28506,jup_rank_57,,,
58,28507,jup_rank_58,,,
59,28508,jup_rank_59,,,
60,28509,jup_rank_60,,,
61,28510,jup_rank_61,,,
62,28511,jup_rank_62,,,
63,28512,jup_rank_63,,,
64,28513,jup_rank_64,,,
65,28514,jup_rank_65,,,
66,28515,jup_rank_66,,,
