5885,dev,0,1,1,12,13
5886,dev,0,1,1,12,13
5887,dev,0,1,1,12,13
5895,dev,1,1,1,12,13
5896,dev,1,1,1,12,13
5897,dev,1,1,1,12,13
6008,prod,1,1,1,12,13
6012,dev,0,1,1,12,13
6013,dev,0,0,0,12,13
6014,dev,0,1,1,12,13
6015,dev,0,1,1,12,13
6021,cert,0,1,1,12,13
6023,cert,0,1,1,12,13
6030,cert,1,1,1,12,13
6036,dev,0,1,1,12,13
6040,dev,0,0,0,12,13
6041,cert,0,0,0,12,13
6042,dev,0,1,1,12,13
6043,dev,0,1,1,12,13
6044,dev,0,1,1,12,13
6046,dev,0,1,1,,
6047,dev,0,1,1,,
6048,dev,0,1,1,,
6049,dev,0,1,1,12,13
6050,cert,0,1,1,12,13
6051,prod,0,1,1,12,13
6058,dev,0,1,1,12,13
6999,prod,0,1,1,12,13
7000,prod,0,1,1,12,13
7001,prod,0,0,0,12,13
7100,prod,1,1,1,12,13
7200,prod,0,1,1,12,13
7201,prod,0,0,0,12,13
7300,prod,0,1,1,,
7301,prod,0,1,0,,
7302,prod,0,1,1,,
7303,prod,0,1,1,,
7304,prod,0,1,1,,
7310,cert,0,1,1,,
7311,cert,0,1,0,,
7312,cert,0,1,1,,
7313,cert,0,1,1,,
7314,cert,0,1,1,,
7321,dev,0,1,0,,
7322,dev,0,1,1,,
7323,dev,0,1,1,,
7324,dev,0,1,1,,
7398,dev,0,1,1,,
7324,dev,0,1,1,,
7500,prod,0,1,1,,
7510,cert,0,1,1,,
7520,dev,0,1,1,,
7501,prod,0,1,1,,
7511,cert,0,1,1,,
7521,dev,0,1,1,,
7502,prod,0,1,1,,
7512,cert,0,1,1,,
7522,dev,0,1,1,,
7503,prod,0,1,1,,
7513,cert,0,1,1,,
7523,dev,0,1,1,,
7504,prod,0,1,1,,
7514,cert,0,1,1,,
7524,dev,0,1,1,,
7597,dev,0,1,1,,
7598,dev,0,1,1,,
7599,dev,0,1,1,,
