1,,cer_rank_01_prestige_00,,60631,,,0,0
2,,cer_rank_02_prestige_00,,60632,,,0,0
3,,cer_rank_03_prestige_00,,60477,,,0,0
4,,cer_rank_04_prestige_00,,56146,,,0,0
6,,cer_rank_06_prestige_00,,,,58102|28024,0,0
7,,cer_rank_07_prestige_00,,85372|56152,,,0,0
9,,cer_rank_09_prestige_00,,,,55390|54173,0,0
10,,cer_rank_10_prestige_00,,82878|56158,,,0,0
12,,cer_rank_12_prestige_00,,,,55453|53907,0,0
14,,cer_rank_14_prestige_00,,56159,,,0,0
15,,cer_rank_15_prestige_00,,,,58136|71963,0,0
20,,cer_rank_20_prestige_00,,56147,,,0,0
21,,cer_rank_21_prestige_00,,,,55380|30812,0,0
22,,cer_rank_22_prestige_00,,56165,,,0,0
23,,cer_rank_23_prestige_00,,82879,,,0,0
25,,cer_rank_25_prestige_00,,65960,,,0,0
27,,cer_rank_27_prestige_00,,,,58137|24676,0,0
28,,cer_rank_28_prestige_00,,84994|66424,,,0,0
31,,cer_rank_31_prestige_00,,81745,,,0,0
33,,cer_rank_33_prestige_00,,,,54689|72100,0,0
35,,cer_rank_35_prestige_00,,56157,,,0,0
37,,cer_rank_37_prestige_00,,56162,,,0,0
39,,cer_rank_39_prestige_00,,,,57668|28252,0,0
41,,cer_rank_41_prestige_00,,82058,,,0,0
44,,cer_rank_44_prestige_00,,70897,,,0,0
49,,cer_rank_49_prestige_00,,58320,,,0,0
50,,cer_rank_50_prestige_00,,70203,,,0,0
53,,cer_rank_53_prestige_00,,56164,,,0,0
9,,cer_rank_09_prestige_01,,85199,,,1,0
19,,cer_rank_19_prestige_01,,,,84679|56150|56162|65960|56158|56152,1,0
29,,cer_rank_29_prestige_01,,69149,,,1,0
39,,cer_rank_39_prestige_01,,85734,,,1,0
49,,cer_rank_49_prestige_01,,,,82069,1,0
9,,cer_rank_09_prestige_02,,85200,,,2,0
19,,cer_rank_19_prestige_02,,,,84679|81745|66424|56147,2,0
29,,cer_rank_29_prestige_02,,69139,,,2,0
39,,cer_rank_39_prestige_02,,85779,,,2,0
49,,cer_rank_49_prestige_02,,,,82123,2,0
9,,cer_rank_09_prestige_03,,85201,,,3,0
19,,cer_rank_19_prestige_03,,,,84679|56162|82058|56154,3,0
29,,cer_rank_29_prestige_03,,69150,,,3,0
39,,cer_rank_39_prestige_03,,85735,,,3,0
49,,cer_rank_49_prestige_03,,,,82276,3,0
9,,cer_rank_09_prestige_04,,85202,,,4,0
19,,cer_rank_19_prestige_04,,,,84679|56153|56158|56159,4,0
29,,cer_rank_29_prestige_04,,69151,,,4,0
39,,cer_rank_39_prestige_04,,83250,,,4,0
49,,cer_rank_49_prestige_04,,,,85377,4,0
9,,cer_rank_09_prestige_05,,85203,,,5,0
19,,cer_rank_19_prestige_05,,,,84679|57737|56157|56152,5,0
29,,cer_rank_29_prestige_05,,69152,,,5,0
39,,cer_rank_39_prestige_05,,83225,,,5,0
49,,cer_rank_49_prestige_05,,,,82278,5,0
9,,cer_rank_09_prestige_06,,85204,,,6,0
19,,cer_rank_19_prestige_06,,,,84679|71061|56158|56156,6,0
29,,cer_rank_29_prestige_06,,69170,,,6,0
39,,cer_rank_39_prestige_06,,85780,,,6,0
49,,cer_rank_49_prestige_06,,,,86907,6,0
9,,cer_rank_09_prestige_07,,85205,,,7,0
19,,cer_rank_19_prestige_07,,,,84679|56153|83060|56147,7,0
29,,cer_rank_29_prestige_07,,69171,,,7,0
39,,cer_rank_39_prestige_07,,85781,,,7,0
49,,cer_rank_49_prestige_07,,,,86909,7,0
9,,cer_rank_09_prestige_08,,85206,,,8,0
19,,cer_rank_19_prestige_08,,,,84679|56160|56165|56154,8,0
29,,cer_rank_29_prestige_08,,69207,,,8,0
39,,cer_rank_39_prestige_08,,83227,,,8,0
49,,cer_rank_49_prestige_08,,,,85133,8,0
9,,cer_rank_09_prestige_09,,85207,,,9,0
19,,cer_rank_19_prestige_09,,,,84679|70897|83060|56146,9,0
29,,cer_rank_29_prestige_09,,69153,,,9,0
39,,cer_rank_39_prestige_09,,83228,,,9,0
49,,cer_rank_49_prestige_09,,,,86908,9,0
9,,cer_rank_09_prestige_10,,85208,,,10,0
19,,cer_rank_19_prestige_10,,,,84679|56162|82058|56154,10,0
29,,cer_rank_29_prestige_10,,69154,,,10,0
39,,cer_rank_39_prestige_10,,85736,,,10,0
49,,cer_rank_49_prestige_10,,,,82280,10,0
55,,cer_rank_55_prestige_10,,82282,,,10,0
59,,cer_rank_59_prestige_11,,85209,,,11,0
64,,cer_rank_64_prestige_11,,,,84679|70203|71061|83060|56158|56159,11,0
69,,cer_rank_69_prestige_11,,69183,,,11,0
79,,cer_rank_79_prestige_11,,83229,,,11,0
89,,cer_rank_89_prestige_11,,85723,,,11,0
99,,cer_rank_99_prestige_11,,86928|86938|86948|86958|86973|86984|86995|87030|87046|87068|87098|87120|87142|87153|87180|87203|87228|87057|87109|87131|91227,,,11,0
199,,cer_rank_199_prestige_11,,86929|86939|86949|86959|86974|86985|86996|87031|87047|87069|87099|87110|87121|87132|87143|87154|87181|87204|87229|87058|91228,,,11,0
299,,cer_rank_299_prestige_11,,86930|86940|86950|86960|86975|86986|86997|87032|87048|87059|87070|87100|87111|87122|87133|87144|87155|87182|87205|87230|91229,,,11,0
399,,cer_rank_399_prestige_11,,86931|86941|86951|86961|86976|86987|86998|87033|87060|87049|87071|87101|87112|87123|87134|87145|87156|87183|87206|87231|91230,,,11,0
499,,cer_rank_499_prestige_11,,86932|86942|86952|86962|86977|86988|86999|87034|87050|87061|87072|87102|87113|87124|87135|87146|87157|87184|87207|87232|91231,,,11,0
599,,cer_rank_599_prestige_11,,86933|86943|86953|86963|86978|86989|87000|87035|87051|87062|87073|87103|87114|87125|87136|87147|87158|87185|87208|87233|91232,,,11,0
699,,cer_rank_699_prestige_11,,86934|86944|86954|86964|86979|86990|87001|87036|87052|87063|87074|87104|87115|87126|87137|87148|87159|87186|87209|87234|91233,,,11,0
799,,cer_rank_799_prestige_11,,86935|86945|86955|86965|86980|86991|87002|87037|87053|87064|87075|87105|87116|87127|87138|87149|87160|87187|87210|87235|91234,,,11,0
899,,cer_rank_899_prestige_11,,86936|86946|86956|86966|86981|86992|87003|87038|87054|87065|87076|87106|87117|87128|87139|87150|87161|87188|87211|87236|91235,,,11,0
999,,cer_rank_999_prestige_11,,86937|86947|86957|86967|86982|86993|87004|87039|87055|87066|87077|87107|87118|87129|87140|87151|87162|87189|87212|87237|87040|87041|87042|87043|87044|87045|86968|86969|86970|86971|86972|86994|87056|87067|87152|87130|87141|87163|87164|87165|87166|87167|8716,,86720|84679|85981|56164|56153|56157|56158|56152,11,0
