TestCircle,,0,0,0,0,0,1,0.25,1,1,1,BRMapItemColor.mapItemColor_4,BRMapItemColor.mapItemColor_4,,,no_alt,0,,,1,
Jumper_Br,,0,0,0,0,0,1,0.25,1,1,1,BRMapItemColor.mapItemColor_0,BRMapItemColor.mapItemColor_0,,,compassping_portable_radar_sweep,0,,,1,
JumpMaster_Br,ui_mp_br_infil_squad_icon_base,0,0,0,0,1,1,0.25,1,1,1,BRMapItemColor.mapItemColor_0,BRMapItemColor.mapItemColor_0,,,jup_ui_map_icon_obj_area,0,,,1,
ScavengerHunt_Br,ui_mp_br_splash_mission_obj_scavengerhunt_pro,0,0,0,0,0,1,0.25,1,1,1,BRMapItemColor.mapItemColor_4,BRMapItemColor.mapItemColor_4,,,,0,,,1,
Assassination_Br,ui_mp_br_ping_icon_assassin_tablet,0,1,1,0,0,1,0.8,1,1,1,BRMapItemColor.mapItemColor_13_mission,BRMapItemColor.mapItemColor_13_mission,,,,0,,,1,
master_Assassination_Br,ui_mp_br_ping_icon_assassin_tablet,0,1,1,0,0,1,0.8,1,1,1,BRMapItemColor.mapItemColor_13_mission,BRMapItemColor.mapItemColor_13_mission,,,,0,,,1,
Intel_Br,ui_map_icon_watermark_intel,0,0,1,0,0,1,0.8,1,1,1,BRMapItemColor.mapItemColor_14,BRMapItemColor.mapItemColor_14,,,,0,,,1,
Intel_Br_Clipped,ui_map_icon_watermark_intel,0,1,1,0,0,1,0.8,1,1,1,BRMapItemColor.mapItemColor_14,BRMapItemColor.mapItemColor_14,,,,0,,,1,
LootLeaderTop_Plunder,ui_map_icon_marked_leader,0,0,0,0,0,1,0.25,1,1,1,BRMapItemColor.mapItemColor_1_brCircle,BRMapItemColor.mapItemColor_1_brCircle,,,,0,,,1,
LootLeader_Plunder,ui_map_icon_top_earners,0,0,0,0,0,1,0.25,1,1,1,BRMapItemColor.mapItemColor_1_brCircle,BRMapItemColor.mapItemColor_1_brCircle,,,,0,,,1,
Expired_LootLeaderTop_Plunder,ui_map_icon_marked_leader,1,0,0,0,0,1,0.25,1,1,1,BRMapItemColor.mapItemColor_1_brCircle,BRMapItemColor.mapItemColor_1_brCircle,,,,0,,,1,
