iw8_ar_mike4,0,0,icon_weapon_ar_mike4,rand_assault
iw8_ar_akilo47,1,0,icon_weapon_ar_akilo47,rand_assault
iw8_ar_falima,2,0,icon_weapon_ar_falima,rand_assault
iw8_sm_mpapa5,3,0,icon_weapon_sm_mpapa5,rand_smg
iw8_sm_papa90,4,0,icon_weapon_sm_papa90,rand_smg
iw8_sm_uzulu,5,0,icon_weapon_sm_uzulu,rand_smg
iw8_sn_alpha50,6,0,icon_weapon_sn_alpha50,rand_sniper
iw8_sn_kilo98,7,0,icon_weapon_sn_kilo98,rand_sniper
iw8_lm_pkilo,8,0,icon_weapon_lm_pkilo,rand_lmg
iw8_lm_lima86,9,0,icon_weapon_lm_lima86,rand_lmg
iw8_sh_oscar12,10,0,icon_weapon_sh_oscar12,rand_shotgun
iw8_sh_charlie725,11,0,icon_weapon_sh_charlie725,rand_shotgun
iw8_pi_decho,12,0,icon_weapon_pi_decho,rand_pistol
iw8_pi_mike1911,13,0,icon_weapon_pi_mike_1911,rand_pistol
iw8_la_rpapa7,14,0,icon_weapon_la_rpapa7,rand_launcher
equip_frag,15,0,hud_icon_equipment_frag,rand_lethal
equip_semtex,16,0,hud_icon_equipment_semtex,rand_lethal
equip_molotov,17,0,hud_icon_equipment_molotov,rand_lethal
equip_claymore,18,0,hud_icon_equipment_claymore,rand_lethal
equip_throwing_knife,19,0,hud_icon_equipment_throwing_knife,rand_lethal
equip_c4,20,0,hud_icon_equipment_c4,rand_lethal
equip_flash,21,0,hud_icon_equipment_flash,rand_tactical
equip_smoke,22,0,hud_icon_equipment_smoke,rand_tactical
equip_concussion,23,0,hud_icon_equipment_stun,rand_tactical
equip_adrenaline,24,0,hud_icon_equipment_stim,rand_tactical
none,25,0,hud_icon_weapon_me_fist,rand_tactical
