1,special
2,killstreak
3,teamrevive
4,fieldupgrade
5,weapon
6,plunder
7,armor_plate
8,respawn_token
9,enemy
10,danger
11,map_enemy
12,map_danger
13,object
14,map_object
15,armor_bundle
16,gas_mask
17,toma_strike
18,precision_airstrike
19,uav
20,scrambler_drone_guard
21,self_revive_token
22,super_ammo_drop
23,super_armor_drop
24,supply_drop
25,circle_pick
26,redeploy
27,vehicle
28,tac_rover
29,complete_blacksite
30,complete_stronghold
31,underwater_challenge_completed
32,uav_tower
33,poi_travel
34,request_assimilation
35,siphon_gas
36,loot_supply_drop
37,squad_wipe
38,clear_stronghold
39,unlock_stronghold
40,complete_assimilation
41,loot_cache
42,solo_infil_exfil
43,extracted
44,extracted_final
45,infil_solo_no_weapons
46,exfil_no_weapons
47,infil_with_custom_weapon
48,exfil_with_custom_weapon
49,kill_unique_weapon_class
50,kill_AI_unique_weapon
51,dmz_exfil_personal
52,drivable_exfil
53,story_car_heist_enter_hospital
54,story_car_heist_enter_stronghold
55,story_car_heist_enter_vehicle
56,story_car_heist_steal_vehicle
57,open_secure_room
58,find_armory_code
59,open_armory_door
60,infil_site_b
61,reach_final_lab_exfil
62,story_car_heist_milbase_exit
63,story_car_heist_milbase_breadcrumb
501,war
502,conf
503,vanilla
504,sd
505,front
506,mini_mgl
507,blitz
508,resurgence_mgl
509,dom
510,koth
511,rumble_mgl
512,brinf
513,conflict
514,ftue_orientation
515,arms_race
516,jugger
517,killstreak_tdm
518,shock_awe
519,eyes_on_resurgence
520,plunder_quads
521,plunder_trios
522,gold_rush_duos
523,gold_rush_trios
524,killcount
525,havoc
526,havoc_resurgence
527,zxp
528,BR
529,MP
530,training_match
600,ar
601,lm
602,sn
603,dm
604,br
605,pi
606,sm
607,sh
608,la
609,me
700,iw9_ar_mike4
