plunder_tiny,plunder,ui_mp_br_mission_reward_plunder,0,0,,br_reward_mission_cash,175,100,90,65,
plunder_small,plunder,ui_mp_br_mission_reward_plunder,0,0,,br_reward_mission_cash,340,225,170,155,
plunder_medium,plunder,ui_mp_br_mission_reward_plunder,0,0,,br_reward_mission_cash,500,325,255,200,
plunder_large,plunder,ui_mp_br_mission_reward_plunder,0,0,,br_reward_mission_cash,785,495,390,350,
plunder_extra_large,plunder,ui_mp_br_mission_reward_plunder,0,0,,br_reward_mission_cash,925,660,515,450,
plunder_huge,plunder,ui_mp_br_mission_reward_plunder,0,0,,br_reward_mission_cash,1260,785,625,540,
plunder_medium_1x,plunder,ui_mp_br_mission_reward_plunder,0,0,,br_reward_mission_cash,600,375,300,270,
plunder_medium_2x,plunder,ui_mp_br_mission_reward_plunder,0,0,,br_reward_mission_cash,1200,750,600,525,
plunder_medium_3x,plunder,ui_mp_br_mission_reward_plunder,0,0,,br_reward_mission_cash,1800,1125,900,795,
plunder_medium_4x,plunder,ui_mp_br_mission_reward_plunder,0,0,,br_reward_mission_cash,2400,1500,1200,1050,
xp_small,xp,ui_mp_br_mission_reward_xp,0,0,,br_reward_mission_xp,500,500,500,500,
xp_medium,xp,ui_mp_br_mission_reward_xp,0,0,,br_reward_mission_xp,1250,1250,1250,1250,
xp_large,xp,ui_mp_br_mission_reward_xp,0,0,,br_reward_mission_xp,2000,2000,2000,2000,
xp_extra_large,xp,ui_mp_br_mission_reward_xp,0,0,,br_reward_mission_xp,2250,2250,2250,2250,
xp_huge,xp,ui_mp_br_mission_reward_xp,0,0,,br_reward_mission_xp,2500,2500,2500,2500,
xp_medium_1x,xp,ui_mp_br_mission_reward_xp,0,0,,br_reward_mission_xp,250,250,250,250,
xp_medium_2x,xp,ui_mp_br_mission_reward_xp,0,0,,br_reward_mission_xp,300,300,300,300,
xp_medium_3x,xp,ui_mp_br_mission_reward_xp,0,0,,br_reward_mission_xp,350,350,350,350,
xp_medium_4x,xp,ui_mp_br_mission_reward_xp,0,0,,br_reward_mission_xp,400,400,400,400,
weapon_xp_small,weapon_xp,ui_mp_br_mission_reward_xp_weapon,0,0,,br_reward_mission_weaponxp,500,500,500,500,
weapon_xp_medium,weapon_xp,ui_mp_br_mission_reward_xp_weapon,0,0,,br_reward_mission_weaponxp,750,750,750,750,
weapon_xp_large,weapon_xp,ui_mp_br_mission_reward_xp_weapon,0,0,,br_reward_mission_weaponxp,1000,1000,1000,1000,
weapon_xp_extra_large,weapon_xp,ui_mp_br_mission_reward_xp_weapon,0,0,,br_reward_mission_weaponxp,1250,1250,1250,1250,
weapon_xp_huge,weapon_xp,ui_mp_br_mission_reward_xp_weapon,0,0,,br_reward_mission_weaponxp,1500,1500,1500,1500,
weapon_xp_medium_1x,weapon_xp,ui_mp_br_mission_reward_xp_weapon,0,0,,br_reward_mission_weaponxp,300,300,300,300,
weapon_xp_medium_2x,weapon_xp,ui_mp_br_mission_reward_xp_weapon,0,0,,br_reward_mission_weaponxp,600,600,600,600,
weapon_xp_medium_3x,weapon_xp,ui_mp_br_mission_reward_xp_weapon,0,0,,br_reward_mission_weaponxp,900,900,900,900,
weapon_xp_medium_4x,weapon_xp,ui_mp_br_mission_reward_xp_weapon,0,0,,br_reward_mission_weaponxp,1200,1200,1200,1200,
drop_bag,drop_bag,ui_mp_br_mission_reward_dropbox,0,0,,br_reward_mission_misc,1,1,1,1,
circle_peek_original,circle_peek,ui_mp_br_mission_reward_circle,0,0,,br_reward_mission_misc,1,1,1,1,
loot_gasmask,loot_items,ui_mp_br_mission_reward_gasmask,0,0,,br_reward_mission_misc,brloot_equip_gasmask,brloot_equip_gasmask,brloot_equip_gasmask,brloot_equip_gasmask,
loot_gasmask_nosplash,loot_items,,0,0,ui_mp_br_mission_reward_gasmask,br_reward_mission_misc,brloot_equip_gasmask,brloot_equip_gasmask,brloot_equip_gasmask,brloot_equip_gasmask,
loot_token,loot_items,loot_token_icon,0,0,,br_reward_mission_misc,token,token,token,token,
fire_sale,fire_sale,ui_mp_br_mission_reward_firesale,0,0,,br_reward_mission_misc,0,0,0,0,
