ui_winners_circle_emote_0,1,,c,i,-1,-1,1000,,,,,,
ui_winners_circle_emote_1,1,,c,i,-1,-1,1000,,,,,,
ui_winners_circle_emote_2,1,,c,i,-1,-1,1000,,,,,,
ui_winners_circle_emote_3,1,,c,i,-1,-1,1000,,,,,,
ui_winners_circle_emote_4,1,,c,i,-1,-1,1000,,,,,,
ui_winners_circle_emote_5,1,,c,i,-1,-1,1000,,,,,,
ui_winners_circle_choice_lock_in,1,,c,i,0,0,2,,,,,,
ui_winners_circle_debug,1,,g,i,-1,-1,1,,,,,,
ui_winners_circle_debug_restart,1,,g,i,0,0,2,,,,,,
ui_winners_circle_upside_down,1,,g,b,0,,,,,,,,
ui_winners_circle_state,1,,g,i,0,0,8,,,,,,
ui_winners_circle_play_emote,1,,g,b,0,0,1,,,,,,
